query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 < 1.0 AND f4 <= 0.143 AND f5 = 0.218 AND f6 > -0.13;,1.0,0,1.0,0.6254079926293343,0,0.0
1,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f5 > 0.346 AND f2 <= 3.164 AND f1 = 0.19 AND f8 < 1.0;,1.0,0,1.0,0.534435996087268,0,0.0
2,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f1 < -0.898 AND f7 = 6954.5 AND f5 <= -0.36 AND f8 <= 1.0 AND f6 < 0.192;,1.0,0,1.0,0.6016739935148507,0,0.0
3,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f4 > 0.311 AND f6 >= 0.074 AND f3 = 9.79 AND f8 >= 1.0 AND f1 < -0.112;,1.0,0,1.0,0.6041479937266558,0,0.0
4,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f5 > 0.015 AND f1 <= -0.162 AND f7 > 2225.7 AND f8 > 1.0 AND f6 < -0.101;,1.0,0,1.0,0.5548040062421933,0,0.0
5,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 <= 1.0;,31991.0,31991,1.0,0.3053600084967911,0,0.0
6,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f2 >= 3.649 AND f5 > -0.02 AND f6 >= -0.026 AND f8 <= 1.0;,837.0497091985468,829,1.009710143785943,0.5210459930822253,0,0.0
7,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f3 > 8.51;,20476.999999999567,20477,1.000000000000021,0.2920560073107481,0,0.0
8,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f1 <= 0.229;,20481.00000000033,20481,1.0000000000000162,0.315740006044507,0,0.0
9,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f4 < 0.143 AND f8 <= 1.0;,22380.000000000196,22380,1.0000000000000089,0.3595610032789409,0,0.0
10,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f2 >= 0.375 AND f4 >= 0.217 AND f7 < 1354.3 AND f8 <= 1.0;,435.8708654961224,395,1.1034705455598035,0.4863070062128827,0,0.0
11,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f2 > 1.799 AND f1 >= 0.72 AND f8 <= 1.0 AND f6 > -0.265 AND f4 < -0.264;,455.45082811827535,280,1.626610100422412,0.6535610009450465,0,0.0
12,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f4 <= 0.254 AND f1 = -0.559 AND f5 = 0.068 AND f3 <= 7.6 AND f6 < -0.13;,1.0,0,1.0,0.5861789977643639,0,0.0
13,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f4 < -0.058 AND f7 = 4574.0 AND f5 <= -0.126;,1.0,0,1.0,0.4251429927535355,0,0.0
14,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f2 > 1.165 AND f4 >= 0.143 AND f1 <= -0.285 AND f6 <= -0.068;,1024.4064266268285,830,1.2342246103937693,0.4866149974986911,0,0.0
15,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 < 1.0 AND f3 = 10.475 AND f5 = 0.255 AND f2 > 3.25 AND f1 < -0.197;,1.0,0,1.0,0.5451710021588951,0,0.0
16,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f1 <= -0.215 AND f8 < 1.0;,239.6666738744518,525,2.190542354148991,0.3818090044660494,0,0.0
17,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f1 >= -0.434;,23345.00000000009,23345,1.000000000000004,0.3090450045419857,0,0.0
18,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f3 <= 7.6 AND f1 = -0.078 AND f8 < 1.0;,1.0,0,1.0,0.4268949996912852,0,0.0
19,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f1 > -0.898 AND f8 > 1.0 AND f4 > 0.118 AND f3 >= 9.022 AND f5 > -0.186;,1.0,0,1.0,0.584036999498494,0,0.0
20,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 >= 1.0;,31420.0,31420,1.0,0.28538500191643834,0,0.0
21,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f3 >= 9.288;,16634.999999999465,16635,1.0000000000000322,0.28964399825781584,0,0.0
22,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 <= 1.0;,31991.0,31991,1.0,0.05125399911776185,0,0.0
23,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 > 1.0;,1.0,0,1.0,0.3109940007561818,0,0.0
24,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f7 > 2645.5 AND f4 > 0.274 AND f5 <= -0.081 AND f1 <= -0.078 AND f6 = 0.356;,1.0,0,1.0,0.5837760108988732,0,0.0
25,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 = 1.0 AND f4 >= -0.457 AND f5 > 0.175 AND f1 > 0.27;,1876.3002347383274,1864,1.006598838378931,0.5388519930420443,0,0.0
26,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f2 <= 3.25 AND f4 > -0.051;,16717.67348650357,16605,1.0067855155979264,0.360573991201818,0,0.0
27,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f5 < 0.195 AND f2 < 2.783 AND f6 <= -0.004;,9053.258129572054,9092,1.0042793290408232,0.45949200284667313,0,0.0
28,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f4 <= -0.103 AND f3 < 8.12 AND f8 < 1.0 AND f7 >= 17490.1;,1.0,0,1.0,0.52690900338348,0,0.0
29,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f3 >= 10.662 AND f2 > 0.771;,9211.32038483215,8579,1.0737056049460485,0.3600449999794364,0,0.0
30,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f3 >= 10.389 AND f1 <= -0.341 AND f4 = 0.039;,1.0,0,1.0,0.4400080069899559,0,0.0
31,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f6 > -0.015 AND f8 >= 1.0 AND f5 > 0.186 AND f4 >= 0.342;,273.92050401184207,581,2.121053340259926,0.5291220004437491,0,0.0
32,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f6 < 0.263 AND f3 <= 9.745 AND f8 > 1.0 AND f5 < -0.069 AND f1 > -0.517;,1.0,0,1.0,0.5521809944184497,0,0.0
33,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 = 1.0;,31420.0,31420,1.0,0.29434099269565195,0,0.0
34,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f2 <= 1.573 AND f6 < -0.068 AND f8 <= 1.0;,3535.780494557344,3508,1.0079191831691403,0.4480499919736758,0,0.0
35,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f1 = 0.452 AND f2 = 2.713 AND f7 <= 4574.0 AND f3 < 12.881 AND f5 <= -0.243;,1.0,0,1.0,0.5815430049551651,0,0.0
36,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f3 > 11.899 AND f4 = 0.039 AND f7 = 17063.3 AND f2 <= 2.067;,1.0,0,1.0,0.47976599307730794,0,0.0
37,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f4 > 0.286 AND f1 < -0.341 AND f6 > 0.024;,612.612742869969,887,1.4478967509630656,0.42699500045273453,0,0.0
38,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f6 >= -0.389 AND f3 > 10.735 AND f8 <= 1.0;,9226.675583049708,9284,1.0062129004574087,0.45002800470683724,0,0.0
39,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f7 > 15011.0 AND f8 > 1.0 AND f3 > 9.9;,1.0,0,1.0,0.42287200631108135,0,0.0
40,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f6 <= -0.18 AND f8 = 1.0;,6921.66427669289,6957,1.0051050906103747,0.3779539983952418,0,0.0
41,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 = 1.0 AND f4 >= 0.185 AND f5 < 0.133 AND f1 = 0.382 AND f2 >= 2.969;,1.0,0,1.0,0.564833011594601,0,0.0
42,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f7 >= 5971.0 AND f8 = 1.0 AND f5 >= 0.105;,6122.414219104255,6234,1.0182257810240207,0.4792219988303259,0,0.0
43,SELECT COUNT(*) FROM accelerometer_gyro_mobile_phone_dataset WHERE f8 > 1.0 AND f2 <= 3.206 AND f4 = -0.457 AND f5 = -0.325 AND f1 = 0.078;,1.0,0,1.0,0.5831869930261746,0,0.0
