query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM bias_correction_ucl WHERE f18 < 0.01 AND f25 = 21.6 AND f15 = 0.002 AND f17 > 0.0;,1.0,0,1.0,1.449364994186908,0,0.0
1,SELECT COUNT(*) FROM bias_correction_ucl WHERE f10 > 117.855 AND f5 <= 71.213 AND f3 = 30.9 AND f18 < 0.183;,3.887602285166451,3,1.295867428388817,0.7253850053530186,0,0.0
2,SELECT COUNT(*) FROM bias_correction_ucl WHERE f1 = 9.0 AND f17 <= 0.0 AND f3 <= 29.6 AND f2 < 247.2 AND f7 < 31.345;,61.853344902169425,76,1.2287128549022803,1.9439859970589168,0,0.0
3,SELECT COUNT(*) FROM bias_correction_ucl WHERE f16 <= 0.0 AND f1 >= 22.12 AND f22 = 0.697;,1.0,0,1.0,2.433863002806902,0,0.0
4,SELECT COUNT(*) FROM bias_correction_ucl WHERE f23 >= 5228.07;,4880.000000000074,4880,1.000000000000015,0.33906300086528063,0,0.0
5,SELECT COUNT(*) FROM bias_correction_ucl WHERE f17 > 0.0 AND f10 > 86.853;,541.4807087792873,344,1.5740718278467654,0.42540300637483597,0,0.0
6,SELECT COUNT(*) FROM bias_correction_ucl WHERE f4 > 19.5 AND f10 < 42.925 AND f13 <= 0.034 AND f3 <= 30.1;,118.54794076464974,97,1.2221437192231932,1.205134998599533,0,0.0
7,SELECT COUNT(*) FROM bias_correction_ucl WHERE f3 >= 33.6 AND f19 > 37.544 AND f21 >= 40.484 AND f7 <= 24.866;,3.8771315841178797,0,3.8771315841178797,2.552789999754168,0,0.0
8,SELECT COUNT(*) FROM bias_correction_ucl WHERE f5 > 50.036;,4911.999999999762,4912,1.0000000000000484,0.4271279976819642,0,0.0
9,SELECT COUNT(*) FROM bias_correction_ucl WHERE f2 <= 198.0;,4974.999999999992,4975,1.0000000000000016,0.32180699781747535,0,0.0
10,SELECT COUNT(*) FROM bias_correction_ucl WHERE f22 <= 0.412 AND f18 < 0.0;,1.0,0,1.0,1.2716030032606795,0,0.0
11,SELECT COUNT(*) FROM bias_correction_ucl WHERE f14 > 0.266 AND f21 <= 50.931;,1831.766177688508,1842,1.0055868606136216,1.5063870014273562,0,0.0
12,SELECT COUNT(*) FROM bias_correction_ucl WHERE f1 >= 20.2 AND f9 < 4.727;,107.5948750904497,84,1.2808913701244014,1.3446339944493957,0,0.0
13,SELECT COUNT(*) FROM bias_correction_ucl WHERE f13 = 0.666 AND f20 > 126.91;,1.0,0,1.0,1.917098998092115,0,0.0
14,SELECT COUNT(*) FROM bias_correction_ucl WHERE f7 > 28.774 AND f15 >= 0.392;,651.7403681540462,526,1.2390501295704301,1.2019060013699345,0,0.0
15,SELECT COUNT(*) FROM bias_correction_ucl WHERE f13 < 0.542 AND f3 = 24.8 AND f7 >= 29.857;,9.328558259212087,8,1.166069782401511,1.0653229983290657,0,0.0
16,SELECT COUNT(*) FROM bias_correction_ucl WHERE f15 < 0.0 AND f5 < 52.811 AND f19 < 37.605 AND f16 < 0.0 AND f13 = 0.634;,1.0,0,1.0,2.616778998344671,0,0.0
17,SELECT COUNT(*) FROM bias_correction_ucl WHERE f22 = 1.231 AND f13 <= 0.054;,1.0,0,1.0,1.7953600035980344,0,0.0
18,SELECT COUNT(*) FROM bias_correction_ucl WHERE f4 > 21.0;,6275.0,6275,1.0,0.5332779983291402,0,0.0
19,SELECT COUNT(*) FROM bias_correction_ucl WHERE f9 <= 6.082 AND f8 <= 25.518 AND f24 = 29.8 AND f23 > 5039.804 AND f13 < 0.082;,3.5371422647207598,4,1.1308564091118853,1.4808960040681995,0,0.0
20,SELECT COUNT(*) FROM bias_correction_ucl WHERE f18 < 0.0 AND f21 > 30.046 AND f20 >= 126.909 AND f3 <= 30.5;,1.0,0,1.0,2.3919870000099763,0,0.0
21,SELECT COUNT(*) FROM bias_correction_ucl WHERE f2 >= 127.0 AND f6 = 93.353;,1.0,0,1.0,0.4122949976590462,0,0.0
22,SELECT COUNT(*) FROM bias_correction_ucl WHERE f3 <= 27.5 AND f12 = 0.292;,1.0,0,1.0,1.1615789990173653,0,0.0
23,SELECT COUNT(*) FROM bias_correction_ucl WHERE f5 >= 55.039 AND f19 > 37.47 AND f2 > 251.0 AND f1 > 17.0 AND f16 >= 0.0;,224.18590602772971,256,1.1419094292588365,2.713397996558342,0,0.0
24,SELECT COUNT(*) FROM bias_correction_ucl WHERE f3 >= 31.9 AND f15 < 0.0;,1.0,0,1.0,0.9163190043182112,0,0.0
25,SELECT COUNT(*) FROM bias_correction_ucl WHERE f12 > 0.434 AND f3 > 30.6 AND f22 = 1.337;,1.0,0,1.0,2.1253849990898743,0,0.0
26,SELECT COUNT(*) FROM bias_correction_ucl WHERE f20 <= 127.086;,7129.999999999999,7130,1.0000000000000002,1.237008000316564,0,0.0
27,SELECT COUNT(*) FROM bias_correction_ucl WHERE f19 > 37.483 AND f1 > 22.0 AND f20 <= 126.97 AND f3 <= 29.7;,442.16973507919397,372,1.1886283201053602,3.227007000532467,0,0.0
28,SELECT COUNT(*) FROM bias_correction_ucl WHERE f15 > 0.012 AND f18 = 0.0 AND f3 <= 26.6 AND f17 < 0.0 AND f25 > 26.7;,1.0,0,1.0,1.4585379976779222,0,0.0
29,SELECT COUNT(*) FROM bias_correction_ucl WHERE f25 > 22.3 AND f20 >= 126.999 AND f22 = 0.266 AND f16 = 0.0;,1.0,0,1.0,2.8052210036548786,0,0.0
30,SELECT COUNT(*) FROM bias_correction_ucl WHERE f25 <= 26.0 AND f11 < 0.478;,4630.120734653589,4557,1.0160458052783825,1.4186129992594942,0,0.0
31,SELECT COUNT(*) FROM bias_correction_ucl WHERE f13 <= 0.135 AND f22 < 0.412 AND f9 < 6.711;,354.9811847588869,396,1.1155520827645393,1.70917299692519,0,0.0
32,SELECT COUNT(*) FROM bias_correction_ucl WHERE f11 > 0.048 AND f7 < 28.932 AND f5 <= 43.444 AND f16 >= 0.0 AND f12 <= 0.183;,185.29874832995043,97,1.9102963745355714,1.9632379990071058,0,0.0
33,SELECT COUNT(*) FROM bias_correction_ucl WHERE f21 = 44.762 AND f17 >= 0.0 AND f16 > 0.0 AND f22 = 0.549;,1.0,0,1.0,2.596954996988643,0,0.0
34,SELECT COUNT(*) FROM bias_correction_ucl WHERE f22 >= 4.73;,309.99999999999994,310,1.0000000000000002,1.2054649996571243,0,0.0
35,SELECT COUNT(*) FROM bias_correction_ucl WHERE f12 < 0.703 AND f10 <= 62.158 AND f21 > 30.046 AND f19 < 37.524 AND f1 > 6.0;,887.4127609895438,716,1.23940329747143,3.7846769992029294,0,0.0
36,SELECT COUNT(*) FROM bias_correction_ucl WHERE f15 = 0.0;,4842.999999999999,4843,1.0000000000000002,0.8815250039333478,0,0.0
37,SELECT COUNT(*) FROM bias_correction_ucl WHERE f3 <= 28.3 AND f22 < 0.514 AND f7 <= 24.866;,81.96018805223474,112,1.3665171183919238,1.6991219963529147,0,0.0
38,SELECT COUNT(*) FROM bias_correction_ucl WHERE f23 = 5424.245 AND f2 = 291.0 AND f6 = 92.888 AND f8 <= 22.09 AND f9 < 11.063;,1.0,0,1.0,1.0647969975252636,0,0.0
39,SELECT COUNT(*) FROM bias_correction_ucl WHERE f14 < 0.266;,4148.000000000063,4148,1.000000000000015,0.5026619983254932,0,0.0
40,SELECT COUNT(*) FROM bias_correction_ucl WHERE f15 = 0.0 AND f7 = 31.899 AND f21 <= 45.258 AND f1 < 12.0;,1.0,0,1.0,2.9145969965611584,0,0.0
41,SELECT COUNT(*) FROM bias_correction_ucl WHERE f24 > 33.8;,971.0000000000003,971,1.0000000000000004,0.5508199974428862,0,0.0
42,SELECT COUNT(*) FROM bias_correction_ucl WHERE f8 >= 21.167 AND f13 >= 0.476;,1738.6387793931142,1753,1.0082600369766852,0.9743490008986555,0,0.0
43,SELECT COUNT(*) FROM bias_correction_ucl WHERE f23 > 5670.202 AND f1 <= 3.0 AND f12 = 0.299;,1.0,0,1.0,1.8914730026153848,0,0.0
44,SELECT COUNT(*) FROM bias_correction_ucl WHERE f25 > 21.9 AND f9 > 6.953 AND f16 = 0.0 AND f1 < 12.0;,611.1957741931637,415,1.472760901670274,2.08067999483319,0,0.0
45,SELECT COUNT(*) FROM bias_correction_ucl WHERE f5 <= 80.385 AND f17 = 0.0 AND f24 > 34.6 AND f22 <= 0.505;,113.54776186630949,167,1.4707467347231808,1.749254995957017,0,0.0
46,SELECT COUNT(*) FROM bias_correction_ucl WHERE f18 = 0.0 AND f10 >= 85.496 AND f24 <= 30.0 AND f21 < 82.291 AND f6 < 88.605;,212.20168989871698,97,2.187646287615639,1.799495003069751,0,0.0
47,SELECT COUNT(*) FROM bias_correction_ucl WHERE f17 = 0.0 AND f9 = 5.421 AND f19 = 37.47 AND f16 > 0.0 AND f7 > 31.527;,1.0,0,1.0,2.2180829982971773,0,0.0
48,SELECT COUNT(*) FROM bias_correction_ucl WHERE f13 < 0.058 AND f18 = 0.0 AND f19 <= 37.551 AND f4 >= 23.7 AND f16 <= 0.0;,217.75088373149106,306,1.405275582611775,2.3702040052739903,0,0.0
49,SELECT COUNT(*) FROM bias_correction_ucl WHERE f5 >= 65.468 AND f11 < 0.094 AND f14 = 0.299 AND f16 >= 0.0;,1.0,0,1.0,1.6833109984872863,0,0.0
50,SELECT COUNT(*) FROM bias_correction_ucl WHERE f23 > 4602.118 AND f25 < 21.7;,2002.240963855448,1764,1.1350572357457187,0.6733140035066754,0,0.0
51,SELECT COUNT(*) FROM bias_correction_ucl WHERE f1 >= 11.0 AND f22 < 0.618;,1860.0,1860,1.0,2.102870996168349,0,0.0
52,SELECT COUNT(*) FROM bias_correction_ucl WHERE f16 >= 0.254 AND f4 = 22.1 AND f24 > 31.3 AND f19 <= 37.551 AND f17 = 0.003;,1.0,0,1.0,2.296220998687204,0,0.0
53,SELECT COUNT(*) FROM bias_correction_ucl WHERE f18 = 0.061 AND f7 < 32.818;,1.0,0,1.0,0.68153200118104,0,0.0
54,SELECT COUNT(*) FROM bias_correction_ucl WHERE f7 >= 28.463 AND f18 >= 0.0 AND f20 >= 127.083 AND f19 < 37.51 AND f5 > 47.476;,1.0,0,1.0,2.6562959974398836,0,0.0
55,SELECT COUNT(*) FROM bias_correction_ucl WHERE f8 >= 21.167 AND f5 > 56.602;,2989.4972295733446,3065,1.0252560094987715,0.7478099942090921,0,0.0
56,SELECT COUNT(*) FROM bias_correction_ucl WHERE f14 <= 0.101 AND f18 > 0.061 AND f23 < 4833.544 AND f5 >= 68.475;,4.89418958271704,0,4.89418958271704,0.9519189989077859,0,0.0
57,SELECT COUNT(*) FROM bias_correction_ucl WHERE f4 >= 25.9 AND f23 < 5670.202 AND f17 <= 0.0;,564.5260352606587,686,1.215178675830696,0.6957279983907938,0,0.0
58,SELECT COUNT(*) FROM bias_correction_ucl WHERE f1 = 3.0;,309.99999999999994,310,1.0000000000000002,1.3525450049201027,0,0.0
59,SELECT COUNT(*) FROM bias_correction_ucl WHERE f17 > 0.0 AND f19 < 37.51 AND f16 >= 0.0 AND f5 > 78.423 AND f7 > 32.066;,2.094170821257423,0,2.094170821257423,2.055662000202574,0,0.0
60,SELECT COUNT(*) FROM bias_correction_ucl WHERE f22 > 0.155 AND f15 <= 0.0;,4260.288301462885,4248,1.002892726333071,1.7824220049078576,0,0.0
61,SELECT COUNT(*) FROM bias_correction_ucl WHERE f14 >= 0.573 AND f17 > 0.0 AND f12 < 0.17 AND f7 <= 30.23;,34.72789542633805,27,1.2862183491236314,1.3913410002714954,0,0.0
62,SELECT COUNT(*) FROM bias_correction_ucl WHERE f24 = 28.638 AND f12 > 0.147 AND f13 > 0.444;,1.0,0,1.0,1.4264010023907758,0,0.0
63,SELECT COUNT(*) FROM bias_correction_ucl WHERE f3 = 30.4 AND f23 < 5776.879 AND f21 = 56.445;,1.0,0,1.0,1.4824669997324236,0,0.0
