query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f8 < 1.0 AND f4 <= 115382.3 AND f5 = 3.734 AND f6 > 1.38;,1.0,0,1.0,2.1706809638999403,0,0.0
1,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f5 > 4.177 AND f2 <= 3.0 AND f1 = 16.0 AND f8 < 10.0;,309.3990985751469,275,1.1250876311823526,2.1405360312201083,0,0.0
2,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f1 < 2.0 AND f7 = 0.255 AND f5 <= 1.419 AND f8 <= 4.0 AND f6 < 2.151;,1.0,0,1.0,1.8585959915071726,0,0.0
3,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f4 > 146702.51 AND f6 >= 1.841 AND f8 >= 1.0 AND f1 < 12.0;,7.791623167389425,0,7.791623167389425,2.8582289814949036,0,0.0
4,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f5 > 3.006 AND f1 <= 11.0 AND f7 > 0.039 AND f8 > 10.0 AND f6 < 1.418;,1.0,0,1.0,1.819438999518752,0,0.0
5,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f8 <= 4.0;,96075.0,96075,1.0,0.2883330453187227,0,0.0
6,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f2 >= 3.0 AND f5 > 2.836 AND f6 >= 1.549 AND f8 <= 1.0;,3612.6285557624515,891,4.054577503661561,0.5207809736020863,0,0.0
7,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f1 <= 17.0;,109657.0,109657,1.0,1.6926220268942416,0,0.0
8,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f4 < 115382.3 AND f8 <= 1.0;,39495.411887116206,39768,1.0069017665561482,1.7956699593923986,0,0.0
9,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f2 >= 0.0 AND f4 >= 131866.2 AND f7 < -0.066 AND f8 <= 1.0;,830.2832208090929,440,1.8870073200206656,1.8309670267626643,0,0.0
10,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f2 > 1.0 AND f1 >= 21.0 AND f8 <= 4.0 AND f6 > 1.221 AND f4 < 26373.44;,4053.2060097256062,3589,1.129341323411983,2.844819042365998,0,0.0
11,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f4 <= 138460.56 AND f1 = 6.0 AND f5 = 3.228 AND f6 < 1.38;,1.0,0,1.0,3.174412006046623,0,0.0
12,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f4 < 59337.24 AND f7 = 0.172 AND f5 <= 2.386;,1.0,0,1.0,1.7387100378982723,0,0.0
13,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f2 > 0.0 AND f4 >= 115382.3 AND f1 <= 10.0 AND f6 <= 1.468;,7176.968476224819,7689,1.0713437052804942,2.9044189723208547,0,0.0
14,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f8 < 1.0 AND f5 = 3.88 AND f2 > 3.0 AND f1 < 11.0;,1.0,0,1.0,1.863708021119237,0,0.0
15,SELECT COUNT(*) FROM conflongdemo_jsi WHERE f1 <= 11.0 AND f8 < 6.0;,42891.59410799758,43820,1.0216454042175436,1.728024973999709,0,0.0
