query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM d_spatial_network WHERE f4 <= 28.459 AND f2 = 10.343 AND f1 > 93080812.0 AND f3 >= 57.148;,1.0,0,1.0,0.5995849933242425,0,0.0
1,SELECT COUNT(*) FROM d_spatial_network WHERE f1 > 148355840.0 AND f3 <= 57.402;,25015.42212567193,23997,1.042439560181353,0.3756989899557084,0,0.0
2,SELECT COUNT(*) FROM d_spatial_network WHERE f2 > 8.788 AND f3 < 56.888 AND f1 > 131035315.0 AND f4 >= 25.087;,8502.011785769802,8950,1.0526920246076366,0.6202270014910027,0,0.0
3,SELECT COUNT(*) FROM d_spatial_network WHERE f2 > 10.051 AND f3 > 57.476 AND f1 >= 110500623.0 AND f4 = 21.14;,1.0,0,1.0,0.5176309932721779,0,0.0
4,SELECT COUNT(*) FROM d_spatial_network WHERE f3 < 57.019;,196010.99999999616,196008,1.0000153054977152,0.2875850041164085,0,0.0
5,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 57.089 AND f1 <= 98490084.0 AND f4 > 3.755 AND f2 > 10.488;,6418.190420885748,10121,1.5769242319555927,0.5046409933129326,0,0.0
6,SELECT COUNT(*) FROM d_spatial_network WHERE f2 <= 10.007 AND f1 <= 149634992.0;,268408.27317286696,270899,1.009279620175973,0.3791599883697927,0,0.0
7,SELECT COUNT(*) FROM d_spatial_network WHERE f1 > 100694503.0 AND f3 >= 57.013 AND f4 <= 2.181 AND f2 < 9.182;,1480.2712499605261,668,2.215974925090608,0.475061999168247,0,0.0
8,SELECT COUNT(*) FROM d_spatial_network WHERE f1 <= 37635632.0 AND f4 < 26.752;,37601.02278393597,38131,1.0140947553237953,0.35163700522389263,0,0.0
9,SELECT COUNT(*) FROM d_spatial_network WHERE f2 <= 9.951 AND f4 <= 5.324 AND f1 < 106838525.0 AND f3 >= 56.646;,26427.38764924632,26374,1.0020242530236718,0.5058320093667135,0,0.0
10,SELECT COUNT(*) FROM d_spatial_network WHERE f3 = 57.081 AND f1 = 143977559.0 AND f4 > 4.784 AND f2 < 9.277;,1.0,0,1.0,0.48333800805266947,0,0.0
11,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 57.073 AND f1 > 39497061.0 AND f2 = 9.538 AND f4 < 42.753;,1.0,0,1.0,0.5819509970024228,0,0.0
12,SELECT COUNT(*) FROM d_spatial_network WHERE f3 = 57.056;,1.0,0,1.0,0.28834799013566226,0,0.0
13,SELECT COUNT(*) FROM d_spatial_network WHERE f2 < 9.926 AND f3 < 57.446 AND f4 < 14.725 AND f1 < 135801905.59;,72482.59321920083,89204,1.2306954820204974,0.4661569982999936,0,0.0
14,SELECT COUNT(*) FROM d_spatial_network WHERE f2 = 10.343 AND f3 <= 56.896;,1.0,0,1.0,0.34405800397507846,0,0.0
15,SELECT COUNT(*) FROM d_spatial_network WHERE f1 > 47518826.0 AND f2 >= 10.091 AND f4 <= 10.967 AND f3 <= 56.97;,14064.209449438029,7284,1.930836003492316,0.5267140077194199,0,0.0
16,SELECT COUNT(*) FROM d_spatial_network WHERE f4 < 5.845 AND f2 = 10.018 AND f1 = 144833533.0 AND f3 > 57.427;,1.0,0,1.0,0.5354519962565973,0,0.0
17,SELECT COUNT(*) FROM d_spatial_network WHERE f2 >= 8.831 AND f1 <= 106104550.0 AND f3 > 56.963;,142444.16300425061,151411,1.0629498380743183,0.41123399569187313,0,0.0
18,SELECT COUNT(*) FROM d_spatial_network WHERE f2 >= 9.76;,256568.00000026537,256568,1.0000000000010343,0.2955859963549301,0,0.0
19,SELECT COUNT(*) FROM d_spatial_network WHERE f2 >= 9.983 AND f1 = 145499703.0 AND f4 < 35.009 AND f3 > 57.384;,3.378680312840898,0,3.378680312840898,0.5174889956833795,0,0.0
20,SELECT COUNT(*) FROM d_spatial_network WHERE f4 >= 17.575;,217430.00000020931,217432,1.0000091983617287,0.28522299544420093,0,0.0
21,SELECT COUNT(*) FROM d_spatial_network WHERE f1 > 131035315.0;,82611.00000003392,82611,1.0000000000004106,0.30012599017936736,0,0.0
22,SELECT COUNT(*) FROM d_spatial_network WHERE f1 > 72877132.0 AND f3 <= 56.745 AND f2 >= 10.152 AND f4 < 3.007;,1232.1041729183648,940,1.31074912012592,0.5208250076975673,0,0.0
23,SELECT COUNT(*) FROM d_spatial_network WHERE f3 <= 56.745 AND f1 <= 29498096.0 AND f2 > 10.219;,1022.3676587491577,218,4.689759902519072,0.40940000326372683,0,0.0
24,SELECT COUNT(*) FROM d_spatial_network WHERE f4 > 4.251 AND f2 > 10.361 AND f1 <= 96702377.0 AND f3 <= 57.029;,9134.84460203116,0,9134.84460203116,0.46715899952687323,0,0.0
25,SELECT COUNT(*) FROM d_spatial_network WHERE f4 = 29.071 AND f2 >= 8.651 AND f3 > 57.402 AND f1 > 114459006.0;,1.0,0,1.0,0.49877099809236825,0,0.0
26,SELECT COUNT(*) FROM d_spatial_network WHERE f1 <= 135801905.59 AND f2 > 9.668;,228880.0210033536,222816,1.027215375033003,0.3498760052025318,0,0.0
27,SELECT COUNT(*) FROM d_spatial_network WHERE f3 < 57.269 AND f1 <= 100694503.0 AND f4 < 27.297;,101630.41117868807,98882,1.027794858302705,0.4368090012576431,0,0.0
28,SELECT COUNT(*) FROM d_spatial_network WHERE f4 <= 8.935 AND f3 < 56.896 AND f2 < 9.926;,21066.867265281566,18497,1.1389342739515362,0.42302400106564164,0,0.0
29,SELECT COUNT(*) FROM d_spatial_network WHERE f3 >= 57.246 AND f1 > 34327298.0 AND f4 < 12.957 AND f2 <= 9.121;,9379.616424810143,0,9379.616424810143,0.5084760050522164,0,0.0
30,SELECT COUNT(*) FROM d_spatial_network WHERE f3 = 57.446 AND f1 >= 114988607.0 AND f2 <= 10.32 AND f4 > 15.647;,1.0,0,1.0,0.5010879976907745,0,0.0
31,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 57.416;,78196.00000016451,78198,1.0000255767537405,0.3009149950230494,0,0.0
32,SELECT COUNT(*) FROM d_spatial_network WHERE f3 < 57.46 AND f2 <= 9.939 AND f1 > 93255806.0;,155607.76350573415,176397,1.1336002524931847,0.4410069959703833,0,0.0
33,SELECT COUNT(*) FROM d_spatial_network WHERE f2 > 10.343 AND f1 > 109788673.0 AND f3 = 57.446;,1.0,0,1.0,0.40792999789118767,0,0.0
34,SELECT COUNT(*) FROM d_spatial_network WHERE f1 <= 93895816.0 AND f3 < 56.97 AND f4 <= 2.181;,2485.475096458758,2146,1.1581897001205768,0.43554199510253966,0,0.0
35,SELECT COUNT(*) FROM d_spatial_network WHERE f1 = 101202239.0 AND f4 = 56.916 AND f3 = 57.254 AND f2 <= 9.338;,1.0,0,1.0,0.4905120003968477,0,0.0
36,SELECT COUNT(*) FROM d_spatial_network WHERE f1 < 103704993.0 AND f2 <= 9.983;,144384.79505403453,153342,1.0620370375053227,0.3475069970590994,0,0.0
37,SELECT COUNT(*) FROM d_spatial_network WHERE f1 = 125954704.0 AND f2 = 10.406;,1.0,0,1.0,0.33462001010775566,0,0.0
38,SELECT COUNT(*) FROM d_spatial_network WHERE f4 > 4.784 AND f2 < 9.569 AND f1 > 103704993.0;,57113.65421467688,57288,1.0030526112839462,0.42176200076937675,0,0.0
39,SELECT COUNT(*) FROM d_spatial_network WHERE f3 = 57.039 AND f2 > 8.908 AND f1 >= 109068849.0;,1.0,0,1.0,0.4083399981027469,0,0.0
40,SELECT COUNT(*) FROM d_spatial_network WHERE f4 > 9.714 AND f2 > 9.958 AND f3 = 56.868 AND f1 < 100011941.0;,1.0,0,1.0,0.47032498696353287,0,0.0
41,SELECT COUNT(*) FROM d_spatial_network WHERE f2 > 10.238 AND f3 <= 56.934 AND f4 = 29.718 AND f1 = 98490084.0;,1.0,0,1.0,0.5907049926463515,0,0.0
42,SELECT COUNT(*) FROM d_spatial_network WHERE f3 <= 57.485 AND f2 < 10.303;,324793.50418020965,339536,1.0453903653553691,0.34921699261758476,0,0.0
43,SELECT COUNT(*) FROM d_spatial_network WHERE f2 <= 10.219 AND f3 <= 56.896 AND f4 > 30.42;,27866.877903838522,49674,1.7825462964101069,0.4075150063727051,0,0.0
44,SELECT COUNT(*) FROM d_spatial_network WHERE f1 > 123403099.0 AND f3 <= 57.269 AND f2 = 10.152 AND f4 <= 5.594;,1.0,0,1.0,0.4994730115868151,0,0.0
45,SELECT COUNT(*) FROM d_spatial_network WHERE f2 = 8.831;,1.0,0,1.0,0.28597899654414505,0,0.0
46,SELECT COUNT(*) FROM d_spatial_network WHERE f4 <= 25.64 AND f2 >= 9.217 AND f3 <= 57.131 AND f1 >= 121815604.0;,36846.78650001179,20360,1.8097635805506773,0.49389799823984504,0,0.0
47,SELECT COUNT(*) FROM d_spatial_network WHERE f2 = 9.951;,1.0,0,1.0,0.28863099578302354,0,0.0
48,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 56.811;,343788.000000339,343789,1.0000029087683717,0.2856619976228103,0,0.0
49,SELECT COUNT(*) FROM d_spatial_network WHERE f2 < 9.306;,104385.99999999032,104385,1.0000095799203939,0.28355100948829204,0,0.0
50,SELECT COUNT(*) FROM d_spatial_network WHERE f3 >= 57.024;,234681.00000034343,234685,1.000017044412017,0.28433199622668326,0,0.0
51,SELECT COUNT(*) FROM d_spatial_network WHERE f4 = 27.297 AND f1 = 62049021.0;,1.0,0,1.0,0.33313299354631454,0,0.0
52,SELECT COUNT(*) FROM d_spatial_network WHERE f3 <= 56.671 AND f4 <= 42.753 AND f1 = 121815604.0 AND f2 = 9.338;,1.0,0,1.0,0.521284993737936,0,0.0
53,SELECT COUNT(*) FROM d_spatial_network WHERE f2 = 9.569 AND f3 = 57.427;,1.0,0,1.0,0.3246200067223981,0,0.0
54,SELECT COUNT(*) FROM d_spatial_network WHERE f2 >= 10.343 AND f3 >= 56.879;,47288.16481792261,65305,1.381000938637586,0.34505699295550585,0,0.0
55,SELECT COUNT(*) FROM d_spatial_network WHERE f3 < 56.773 AND f1 < 95983574.0 AND f4 >= 4.505 AND f2 > 9.926;,9294.538313335162,5239,1.7741054234272118,0.5222000036155805,0,0.0
56,SELECT COUNT(*) FROM d_spatial_network WHERE f4 > 20.624 AND f3 < 56.773 AND f1 >= 127812488.63 AND f2 > 9.897;,3864.83818885684,1372,2.816937455435015,0.5150990036781877,0,0.0
57,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 57.212 AND f4 > 2.571 AND f1 = 125954704.0 AND f2 = 10.091;,1.0,0,1.0,0.45912300993222743,0,0.0
58,SELECT COUNT(*) FROM d_spatial_network WHERE f2 < 9.538 AND f1 >= 82678969.0 AND f3 > 57.497 AND f4 > 35.009;,2101.9828525632456,0,2101.9828525632456,0.4707830084953457,0,0.0
59,SELECT COUNT(*) FROM d_spatial_network WHERE f4 >= 4.784 AND f1 <= 104434446.0;,197646.77946780671,198354,1.0035782041786747,0.34696799411904067,0,0.0
60,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 56.657 AND f2 < 9.511 AND f1 <= 106104550.0 AND f4 >= 18.061;,31934.683697137356,30022,1.0637094030090386,0.5014649941585958,0,0.0
61,SELECT COUNT(*) FROM d_spatial_network WHERE f2 > 10.091 AND f3 > 57.024 AND f1 <= 149634992.0 AND f4 = 33.324;,1.0,0,1.0,0.4699909914052114,0,0.0
62,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 56.993 AND f2 <= 9.338;,64756.465131690566,28096,2.3048286279787358,0.4813490086235106,0,0.0
63,SELECT COUNT(*) FROM d_spatial_network WHERE f3 >= 57.535 AND f4 < 22.774;,18294.82311322955,25621,1.4004508183231716,0.35027199191972613,0,0.0
64,SELECT COUNT(*) FROM d_spatial_network WHERE f2 >= 9.87 AND f3 > 57.197 AND f1 >= 27522750.0 AND f4 = 42.753;,1.0,0,1.0,0.4919829952996224,0,0.0
65,SELECT COUNT(*) FROM d_spatial_network WHERE f2 >= 9.713;,265318.0000002647,265318,1.0000000000009979,0.2975270035676658,0,0.0
66,SELECT COUNT(*) FROM d_spatial_network WHERE f2 < 10.203 AND f3 > 57.285 AND f4 = 19.554;,1.0,0,1.0,0.40924000495579094,0,0.0
67,SELECT COUNT(*) FROM d_spatial_network WHERE f2 > 10.219 AND f3 = 56.793 AND f1 < 47518826.0 AND f4 <= 11.745;,1.0,0,1.0,0.4953799943905324,0,0.0
68,SELECT COUNT(*) FROM d_spatial_network WHERE f1 >= 44782541.0 AND f4 >= 11.745 AND f2 = 9.87 AND f3 = 57.297;,1.0,0,1.0,0.49009500071406364,0,0.0
69,SELECT COUNT(*) FROM d_spatial_network WHERE f1 = 125954704.0 AND f3 > 57.485 AND f2 < 9.926 AND f4 <= 19.554;,1.0,0,1.0,0.49698799557518214,0,0.0
70,SELECT COUNT(*) FROM d_spatial_network WHERE f4 = 39.048 AND f3 <= 56.723;,1.0,0,1.0,0.34503499045968056,0,0.0
71,SELECT COUNT(*) FROM d_spatial_network WHERE f4 = 18.061 AND f2 <= 9.76 AND f3 >= 57.47 AND f1 >= 126945300.0;,1.0,0,1.0,0.473457999760285,0,0.0
72,SELECT COUNT(*) FROM d_spatial_network WHERE f1 > 129144379.0 AND f4 < 42.753 AND f3 <= 57.1;,44796.95998471012,41208,1.087093767829308,0.43513800483196974,0,0.0
73,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 57.081;,195607.0000003368,195609,1.000010224581243,0.2810279984259978,0,0.0
74,SELECT COUNT(*) FROM d_spatial_network WHERE f3 >= 57.212 AND f1 > 96369362.0 AND f4 > 29.071 AND f2 < 9.998;,17927.927702252022,2798,6.407408042263053,0.46911899698898196,0,0.0
75,SELECT COUNT(*) FROM d_spatial_network WHERE f1 <= 137266100.0 AND f4 > 24.51;,134017.1529484652,129249,1.036891217328298,0.3742339904420078,0,0.0
76,SELECT COUNT(*) FROM d_spatial_network WHERE f1 < 121815604.0 AND f2 >= 9.182;,251199.862167549,253653,1.009765681442989,0.35221500729676336,0,0.0
77,SELECT COUNT(*) FROM d_spatial_network WHERE f2 >= 10.273 AND f3 = 57.452 AND f4 <= 52.223 AND f1 = 102535586.0;,1.0,0,1.0,0.4696200048783794,0,0.0
78,SELECT COUNT(*) FROM d_spatial_network WHERE f3 < 56.811 AND f4 > 26.206;,31259.10303160792,42820,1.3698409694194416,0.3697930078487843,0,0.0
79,SELECT COUNT(*) FROM d_spatial_network WHERE f3 = 56.986 AND f4 = 52.223 AND f2 = 10.513 AND f1 >= 93255806.0;,1.0,0,1.0,0.46450798981823027,0,0.0
80,SELECT COUNT(*) FROM d_spatial_network WHERE f2 < 10.069 AND f1 > 148120247.0;,24068.88114853829,14862,1.6194913974255343,0.35485299304127693,0,0.0
81,SELECT COUNT(*) FROM d_spatial_network WHERE f1 >= 97257863.0;,265288.0000000643,265288,1.0000000000002425,0.3084149939240888,0,0.0
82,SELECT COUNT(*) FROM d_spatial_network WHERE f1 = 95278007.0 AND f3 > 56.993 AND f4 < 4.505 AND f2 < 10.172;,1.0,0,1.0,0.49346200830768794,0,0.0
83,SELECT COUNT(*) FROM d_spatial_network WHERE f4 >= 9.331 AND f2 <= 9.87 AND f3 > 56.821;,112191.55480575097,89758,1.2499337641853758,0.44612800411414355,0,0.0
84,SELECT COUNT(*) FROM d_spatial_network WHERE f4 < 40.194;,365297.0000000449,365293,1.000010950114141,0.30746799893677235,0,0.0
85,SELECT COUNT(*) FROM d_spatial_network WHERE f4 >= 6.704 AND f3 = 56.837 AND f2 >= 9.844 AND f1 < 125954704.0;,1.0,0,1.0,0.5492930067703128,0,0.0
86,SELECT COUNT(*) FROM d_spatial_network WHERE f3 > 57.024 AND f4 > 31.108 AND f1 = 108238049.8 AND f2 <= 10.203;,1.0,0,1.0,0.48804099787957966,0,0.0
87,SELECT COUNT(*) FROM d_spatial_network WHERE f3 = 56.922 AND f1 >= 40874860.0 AND f4 >= 27.297 AND f2 < 9.76;,1.0,0,1.0,0.5048660095781088,0,0.0
88,SELECT COUNT(*) FROM d_spatial_network WHERE f3 >= 57.024 AND f4 >= 5.594;,187589.81867419163,179894,1.0427797407039237,0.3667129931272939,0,0.0
89,SELECT COUNT(*) FROM d_spatial_network WHERE f3 < 57.019 AND f2 = 9.939 AND f4 > 11.355 AND f1 >= 102535586.0;,1.0,0,1.0,0.46936399303376675,0,0.0
90,SELECT COUNT(*) FROM d_spatial_network WHERE f3 <= 57.497;,395691.00000023335,395690,1.0000025272315027,0.28489499527495354,0,0.0
