query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM data1 WHERE f3 = 138.473 AND f2 < 789.971 AND f1 <= 101111000000000.0;,1.0,0,1.0,0.4994189948774874,0,0.0
1,SELECT COUNT(*) FROM data1 WHERE f1 < 11100000000000.0 AND f3 = 16.024 AND f2 > 1918.166;,1.0,0,1.0,0.41771199903450906,0,0.0
2,SELECT COUNT(*) FROM data1 WHERE f2 > 1622.917 AND f3 > 148.493 AND f1 > 111111000000.0;,820.4506062039975,997,1.215185889876843,0.4998619988327846,0,0.0
3,SELECT COUNT(*) FROM data1 WHERE f1 >= 101011000000000.0 AND f3 = 100.551;,1.0,0,1.0,0.3425049944780767,0,0.0
4,SELECT COUNT(*) FROM data1 WHERE f3 >= 271.091 AND f1 > 101101000000000.0;,913.3879085910537,1069,1.170368022113393,0.34642200625967234,0,0.0
5,SELECT COUNT(*) FROM data1 WHERE f2 >= 1737.322;,2462.9999999998245,2463,1.0000000000000713,0.3192160074831918,0,0.0
6,SELECT COUNT(*) FROM data1 WHERE f3 < 57.792 AND f1 >= 101111000000000.0 AND f2 > 605.832;,2511.019605803654,2366,1.0612931554537846,0.4243239964125678,0,0.0
7,SELECT COUNT(*) FROM data1 WHERE f1 <= 11011100000000.0 AND f2 > 642.446 AND f3 > 403.408;,619.6346666418448,708,1.142608763058816,0.4013479920104146,0,0.0
8,SELECT COUNT(*) FROM data1 WHERE f1 <= 101100000000000.0 AND f3 <= 512.902;,12948.924115321972,13023,1.0057206208035752,0.3509499947540462,0,0.0
9,SELECT COUNT(*) FROM data1 WHERE f1 > 11111000000000.0 AND f3 >= 55.493 AND f2 <= 591.609;,371.6414085096829,155,2.3976865065140833,0.403062003897503,0,0.0
10,SELECT COUNT(*) FROM data1 WHERE f1 > 11000000000000.0;,12996.0,12996,1.0,0.28202800604049116,0,0.0
11,SELECT COUNT(*) FROM data1 WHERE f1 <= 101011000000000.0;,13296.999999999975,13297,1.000000000000002,0.29267100035212934,0,0.0
12,SELECT COUNT(*) FROM data1 WHERE f3 = 103.756 AND f1 < 10011100000000.0;,1.0,0,1.0,0.33740600338205695,0,0.0
13,SELECT COUNT(*) FROM data1 WHERE f3 <= 81.439 AND f2 > 820.975 AND f1 = 11010000000000.0;,67.66919464178271,88,1.3004440272393005,0.44633200741373,0,0.0
14,SELECT COUNT(*) FROM data1 WHERE f1 = 100100000000000.0 AND f3 = 289.198 AND f2 > 674.219;,1.0,0,1.0,0.3904000041075051,0,0.0
15,SELECT COUNT(*) FROM data1 WHERE f1 > 11001000000000.0 AND f2 >= 1590.994;,2258.395901073637,2431,1.0764277418517751,0.3424820024520159,0,0.0
16,SELECT COUNT(*) FROM data1 WHERE f2 < 664.722 AND f1 < 110100000000000.0 AND f3 = 11.711;,1.0,0,1.0,0.4250269994372502,0,0.0
17,SELECT COUNT(*) FROM data1 WHERE f2 <= 1515.655 AND f3 < 187.656 AND f1 < 100011000000000.0;,6878.940809196154,6994,1.0167262946426328,0.43281099351588637,0,0.0
18,SELECT COUNT(*) FROM data1 WHERE f2 < 1590.994 AND f1 < 10011100000000.0;,4961.697507143895,5099,1.0276724835922415,0.34526300441939384,0,0.0
19,SELECT COUNT(*) FROM data1 WHERE f1 > 110110000000000.0 AND f2 > 1155.413 AND f3 > 17.223;,1288.9871574810552,1723,1.3367084303361834,0.4532289894996211,0,0.0
20,SELECT COUNT(*) FROM data1 WHERE f3 < 42.043;,7592.000000000276,7592,1.0000000000000362,0.27782199322246015,0,0.0
21,SELECT COUNT(*) FROM data1 WHERE f2 = 945.08 AND f3 > 26.488 AND f1 < 1110000000000.0;,1.0,0,1.0,0.3990929981227964,0,0.0
22,SELECT COUNT(*) FROM data1 WHERE f3 < 33.321 AND f1 > 100100000000.0 AND f2 <= 908.71;,2369.868864730497,2071,1.1443113784309498,0.42410200694575906,0,0.0
23,SELECT COUNT(*) FROM data1 WHERE f1 >= 10010000000000.0 AND f3 = 74.531 AND f2 < 1471.221;,1.0,0,1.0,0.42656400182750076,0,0.0
24,SELECT COUNT(*) FROM data1 WHERE f2 <= 716.289;,4516.000000000074,4516,1.0000000000000162,0.3008210042025894,0,0.0
25,SELECT COUNT(*) FROM data1 WHERE f3 <= 12.066 AND f1 >= 100000000000000.0 AND f2 > 612.103;,602.0241056792506,610,1.0132484633846186,0.4248140030540526,0,0.0
26,SELECT COUNT(*) FROM data1 WHERE f3 >= 14.418 AND f1 < 11101100000000.0 AND f2 > 649.673;,6798.72286700086,6663,1.0203696333484706,0.3987030067946762,0,0.0
27,SELECT COUNT(*) FROM data1 WHERE f3 < 512.902 AND f2 >= 1026.384 AND f1 <= 1010000000000.0;,1465.0884353434687,1121,1.3069477567738348,0.40147200343199074,0,0.0
28,SELECT COUNT(*) FROM data1 WHERE f2 <= 605.832;,1641.9999999999948,1642,1.000000000000003,0.2755210007308051,0,0.0
29,SELECT COUNT(*) FROM data1 WHERE f1 > 110100000000000.0 AND f2 > 1564.44 AND f3 > 15.483;,707.280686566717,1146,1.6202902493533577,0.44122700637672096,0,0.0
30,SELECT COUNT(*) FROM data1 WHERE f2 >= 1155.413;,8617.99999999946,8618,1.0000000000000626,0.275846992735751,0,0.0
31,SELECT COUNT(*) FROM data1 WHERE f3 = 111.508 AND f2 = 657.463 AND f1 > 101111000000000.0;,1.0,0,1.0,0.417054005083628,0,0.0
