query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f18 < 0.0 AND f15 <= 3.0 AND f17 = 10.0 AND f19 > 0.0;,1.0,0,1.0,0.7571503520011902,0,0.0
1,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f10 > 1.0 AND f5 <= 33.0 AND f3 = 1.0 AND f18 < 1.0;,1.0,0,1.0,0.6521688774228096,0,0.0
2,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f1 = 0.0 AND f17 <= 0.0 AND f3 <= 0.0 AND f2 < 1.0 AND f7 < 0.0;,1.0,0,1.0,0.7372470572590828,0,0.0
3,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f16 <= 0.0 AND f1 >= 2.0 AND f22 = 7.0;,3841.255372749188,3783,1.01539925264319,0.6070937961339951,0,0.0
4,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f9 < 1.0;,61760.0,61760,1.0,0.40450599044561386,0,0.0
5,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f10 > 1.0 AND f1 <= 0.0 AND f3 > 0.0 AND f19 > 1.0 AND f4 < 1.0;,1.0,0,1.0,0.8872170001268387,0,0.0
6,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f16 <= 0.0;,175680.00000000003,175680,1.0000000000000002,0.3523537889122963,0,0.0
7,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f3 >= 1.0 AND f19 > 0.0 AND f21 >= 5.0 AND f7 <= 0.0;,31404.735433655205,32281,1.0279023069051472,0.6951522082090378,0,0.0
8,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f5 > 26.0;,143892.0,143892,1.0,0.3532376140356064,0,0.0
9,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f2 <= 1.0;,253680.0,253680,1.0,0.41966140270233154,0,0.0
10,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f22 <= 5.0 AND f18 < 0.0;,1.0,0,1.0,0.49507059156894684,0,0.0
11,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f14 > 0.0 AND f21 <= 5.0;,13039.021411760647,15562,1.1934944738999917,0.44936593621969223,0,0.0
12,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f1 >= 0.0 AND f9 < 0.0;,1.0,0,1.0,0.456380657851696,0,0.0
13,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f13 = 1.0 AND f20 > 5.0;,189499.1258822714,191727,1.0117566458808507,0.5395356565713882,0,0.0
14,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f7 > 0.0 AND f15 >= 4.0;,3124.7201501237887,5010,1.6033435825609932,0.5039507523179054,0,0.0
15,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f13 < 1.0 AND f3 = 0.0 AND f7 >= 0.0;,7108.493315301649,8293,1.1666325945821174,0.5688294768333435,0,0.0
16,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f15 < 2.0 AND f5 < 27.0 AND f19 < 1.0 AND f16 < 0.0 AND f13 = 1.0;,1.0,0,1.0,0.7112938910722733,0,0.0
17,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f22 = 8.0 AND f13 <= 1.0;,90385.0,90385,1.0,0.43586641550064087,0,0.0
18,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f4 > 1.0;,1.0,0,1.0,0.44122058898210526,0,0.0
19,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f9 >= 1.0 AND f8 < 0.0 AND f13 < 1.0 AND f14 <= 0.0 AND f20 = 10.0;,1.0,0,1.0,0.8114464581012726,0,0.0
20,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f3 < 1.0 AND f9 > 0.0 AND f7 >= 0.0 AND f1 = 0.0 AND f14 < 0.0;,1.0,0,1.0,0.7457621395587921,0,0.0
21,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f12 <= 0.0;,239424.00000000003,239424,1.0000000000000002,0.3496585413813591,0,0.0
22,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f22 = 4.0 AND f17 > 0.0 AND f19 >= 1.0;,3564.6671424086812,3226,1.1049805153157721,0.618496909737587,0,0.0
23,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f2 > 1.0 AND f1 > 0.0 AND f20 >= 8.0;,1.0,0,1.0,0.6061485037207603,0,0.0
24,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f3 >= 1.0 AND f15 < 1.0;,1.0,0,1.0,0.5609272047877312,0,0.0
25,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f12 > 0.0 AND f3 > 1.0 AND f22 = 8.0;,1.0,0,1.0,0.5420353263616562,0,0.0
26,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f20 <= 12.0;,236317.0,236317,1.0,0.3856457769870758,0,0.0
27,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f19 > 0.0 AND f1 > 1.0 AND f20 <= 7.0 AND f3 <= 0.0;,3333.1340135204587,1223,2.7253753176782163,0.697597861289978,0,0.0
28,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f15 = 2.0 AND f18 <= 0.0 AND f3 < 0.0 AND f17 > 30.0 AND f1 = 0.0;,1.0,0,1.0,0.829918310046196,0,0.0
29,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f9 = 0.0 AND f1 = 0.0 AND f12 >= 0.0 AND f10 <= 1.0;,50658.26491641153,47212,1.0729955290267628,0.7373085245490074,0,0.0
30,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f8 < 0.0 AND f11 <= 1.0 AND f13 < 1.0 AND f22 < 7.0;,1.0,0,1.0,0.8263122290372849,0,0.0
31,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f11 > 0.0 AND f7 < 0.0 AND f5 <= 23.0 AND f16 >= 0.0 AND f12 <= 0.0;,1.0,0,1.0,0.8110050112009048,0,0.0
32,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f21 = 5.0 AND f17 >= 0.0 AND f16 > 0.0 AND f22 = 6.0;,3088.827404113373,3665,1.1865344095041832,0.6226701661944389,0,0.0
33,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f22 >= 8.0;,90385.0,90385,1.0,0.3338949754834175,0,0.0
34,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f12 < 0.0 AND f10 <= 1.0 AND f21 > 4.0 AND f19 < 0.0 AND f1 > 0.0;,1.0,0,1.0,0.779988244175911,0,0.0
35,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f15 = 2.0;,89084.0,89084,1.0,0.40451064705848694,0,0.0
36,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f3 <= 0.0 AND f22 < 6.0 AND f7 <= 0.0;,44555.29741872838,41881,1.0638546696289102,0.5556540563702583,0,0.0
37,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f2 = 1.0 AND f6 = 1.0 AND f8 <= 0.0 AND f9 < 1.0 AND f12 <= 0.0;,11034.006532494861,12615,1.1432837168302514,0.7109828293323517,0,0.0
38,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f5 <= 20.0 AND f15 = 3.0 AND f7 = 0.0 AND f21 <= 5.0;,2186.7373061232893,1781,1.227814321237108,0.8169254288077354,0,0.0
39,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f21 > 6.0 AND f7 < 0.0 AND f4 > 1.0;,1.0,0,1.0,0.5504880100488663,0,0.0
40,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f18 >= 0.0 AND f11 > 1.0 AND f9 <= 0.0;,1.0,0,1.0,0.5766870453953743,0,0.0
41,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f18 > 0.0 AND f14 > 0.0 AND f9 > 1.0;,1.0,0,1.0,0.6728433072566986,0,0.0
42,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f18 < 1.0 AND f11 < 1.0;,38731.3172932902,36803,1.0523956550631797,0.49722567200660706,0,0.0
43,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f17 > 30.0 AND f22 <= 6.0 AND f15 = 3.0 AND f16 = 0.0 AND f19 < 1.0;,1.0,0,1.0,0.6897663697600365,0,0.0
44,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f17 = 0.0 AND f18 >= 0.0 AND f9 = 0.0 AND f10 >= 1.0 AND f22 <= 8.0;,21559.40737524009,16167,1.3335440944665116,0.70143211632967,0,0.0
45,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f14 = 0.0 AND f18 = 0.0;,195052.2456835233,196364,1.0067251433680238,0.42922794818878174,0,0.0
46,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f1 = 0.0 AND f18 > 0.0 AND f2 > 1.0 AND f17 < 30.0;,1.0,0,1.0,0.7844027131795883,0,0.0
47,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f18 <= 0.0;,211005.0,211005,1.0,0.412636436522007,0,0.0
48,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f9 <= 1.0 AND f8 = 0.0 AND f16 > 0.0 AND f5 <= 25.0;,23690.188612773723,24621,1.03929100787,0.6745439022779465,0,0.0
49,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f1 < 0.0 AND f9 >= 0.0 AND f5 >= 27.0 AND f2 = 0.0 AND f7 > 0.0;,1.0,0,1.0,0.7090261206030846,0,0.0
50,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f19 < 0.0 AND f4 = 1.0 AND f17 > 0.0 AND f20 <= 9.0;,1.0,0,1.0,0.6762612611055374,0,0.0
51,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f20 < 10.0 AND f6 < 1.0 AND f18 = 0.0 AND f7 < 0.0 AND f21 >= 5.0;,1.0,0,1.0,0.7217098027467728,0,0.0
52,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f11 < 1.0 AND f20 < 7.0;,13768.869249712328,13521,1.018332168457387,0.4485882818698883,0,0.0
53,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f5 < 25.0;,72080.0,72080,1.0,0.4205545410513878,0,0.0
54,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f9 > 1.0;,1.0,0,1.0,0.3520054742693901,0,0.0
55,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f14 > 0.0 AND f18 < 0.0 AND f5 >= 32.0 AND f7 > 0.0;,1.0,0,1.0,0.6606634706258774,0,0.0
56,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f21 <= 4.0 AND f11 > 0.0 AND f17 = 0.0 AND f22 = 8.0 AND f7 <= 0.0;,13839.234920442208,6399,2.162718381066137,0.7089534774422646,0,0.0
57,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f7 < 0.0 AND f6 < 0.0;,1.0,0,1.0,0.499761663377285,0,0.0
58,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f22 < 3.0 AND f4 <= 1.0 AND f19 > 0.0;,9202.264080948831,6982,1.3179982928886897,0.646369531750679,0,0.0
59,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f13 >= 1.0 AND f15 < 3.0 AND f14 >= 0.0;,127927.84286056274,129006,1.008427853666011,0.5400059744715691,0,0.0
60,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f21 > 6.0;,1.0,0,1.0,0.354032963514328,0,0.0
61,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f6 >= 1.0 AND f14 <= 0.0;,102359.4464686176,101247,1.0109874511700851,0.5620624870061874,0,0.0
62,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f20 = 5.0 AND f6 >= 0.0;,16157.000000000002,16157,1.0000000000000002,0.48649031668901443,0,0.0
63,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f21 = 5.0;,69910.00000000001,69910,1.0000000000000002,0.3449665382504463,0,0.0
64,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f7 > 0.0 AND f17 <= 0.0 AND f19 >= 0.0 AND f11 >= 1.0 AND f9 < 1.0;,833.922539583801,791,1.054263640434641,0.8882656693458557,0,0.0
65,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f7 <= 0.0 AND f6 > 0.0 AND f3 = 0.0 AND f11 < 0.0;,1.0,0,1.0,0.632481649518013,0,0.0
66,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f22 <= 5.0 AND f10 < 1.0 AND f11 > 1.0;,1.0,0,1.0,0.6036143749952316,0,0.0
67,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f17 > 30.0 AND f16 = 0.0 AND f21 > 4.0 AND f7 > 0.0;,1.0,0,1.0,0.761459581553936,0,0.0
68,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f9 = 1.0 AND f15 < 1.0;,1.0,0,1.0,0.4608500748872757,0,0.0
69,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f1 = 0.0 AND f4 <= 1.0 AND f9 = 1.0 AND f11 <= 0.0;,30061.545386724392,24612,1.2214182263418005,0.6839586421847343,0,0.0
70,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f18 > 0.0;,42675.0,42675,1.0,0.3538709133863449,0,0.0
71,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f6 = 1.0 AND f13 <= 1.0 AND f16 <= 0.0 AND f18 = 0.0;,64615.86255795203,62664,1.031148068395762,0.7028570398688316,0,0.0
72,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f20 <= 8.0 AND f10 >= 1.0 AND f12 >= 0.0 AND f17 >= 15.0;,8335.404690254085,7366,1.1316053068495906,0.8536772802472115,0,0.0
73,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f1 = 0.0;,213703.0,213703,1.0,0.36848895251750946,0,0.0
74,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f21 <= 4.0;,76445.0,76445,1.0,0.3479858860373497,0,0.0
75,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f2 > 0.0 AND f11 <= 1.0 AND f13 >= 1.0 AND f19 > 0.0;,45183.74800938658,48989,1.0842172718788823,0.6235428154468536,0,0.0
76,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f4 > 1.0 AND f15 = 1.0 AND f5 <= 28.0 AND f8 < 0.0 AND f20 >= 4.0;,1.0,0,1.0,0.7167644798755646,0,0.0
77,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f5 <= 28.0 AND f4 >= 1.0 AND f12 = 0.0 AND f15 <= 4.0 AND f22 = 7.0;,22846.034536968313,22444,1.0179127845735303,0.8217142894864082,0,0.0
78,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f10 <= 0.0 AND f5 = 23.0;,5673.453637383035,4804,1.1809853533270265,0.5472181364893913,0,0.0
79,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f17 >= 0.0 AND f20 = 11.0 AND f12 = 0.0;,22213.90795889019,22388,1.0078370740273161,0.578269362449646,0,0.0
80,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f21 < 5.0 AND f9 = 1.0;,56637.19887321055,49342,1.1478496792430495,0.49836933612823486,0,0.0
81,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f22 > 8.0 AND f2 >= 0.0;,1.0,0,1.0,0.6536813452839851,0,0.0
82,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f14 > 0.0 AND f1 = 0.0 AND f20 > 8.0;,8504.858515726564,4251,2.0006724337159643,0.651281327009201,0,0.0
83,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f22 = 5.0;,25882.999999999996,25883,1.0000000000000002,0.3390861675143242,0,0.0
84,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f21 <= 6.0 AND f12 < 0.0;,1.0,0,1.0,0.46064890921115875,0,0.0
85,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f11 > 0.0 AND f16 = 0.0 AND f5 <= 25.0;,51261.10155250767,53010,1.0341174573804446,0.5589602515101433,0,0.0
86,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f9 = 0.0 AND f13 >= 1.0 AND f5 < 31.0 AND f12 >= 0.0;,40593.633544857956,34832,1.165412079262114,0.7507987320423126,0,0.0
87,SELECT COUNT(*) FROM diabetes_012_health_indicators_brfss2015 WHERE f4 <= 1.0 AND f15 = 3.0 AND f11 <= 1.0 AND f3 > 0.0 AND f18 >= 0.0;,31598.009485649498,36132,1.1434897510366802,0.8381009101867676,0,0.0
