query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f18 < 0.0 AND f15 <= 3.0 AND f17 = 16.0 AND f19 > 0.0;,1.0,0,1.0,0.7052076980471611,0,0.0
1,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f10 > 1.0 AND f5 <= 35.0 AND f3 = 1.0 AND f18 < 1.0;,1.0,0,1.0,0.6230315193533897,0,0.0
2,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f1 = 0.0 AND f17 <= 0.0 AND f3 <= 0.0 AND f2 < 1.0 AND f7 < 0.0;,1.0,0,1.0,0.7127309218049049,0,0.0
3,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f16 <= 0.0 AND f1 >= 1.0 AND f22 = 7.0;,3776.6675022166814,3783,1.001676742201849,0.5852347239851952,0,0.0
4,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f9 < 1.0;,20993.0,20993,1.0,0.3440678119659424,0,0.0
5,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f10 > 1.0 AND f1 <= 0.0 AND f3 > 0.0 AND f19 > 1.0 AND f4 < 1.0;,1.0,0,1.0,0.666128471493721,0,0.0
6,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f16 <= 0.0;,48090.99999999999,48091,1.0000000000000002,0.3530215471982956,0,0.0
7,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f3 >= 1.0 AND f19 > 0.0 AND f21 >= 5.0 AND f7 <= 0.0;,10263.140263286983,10422,1.0154786676044256,0.6132004782557487,0,0.0
8,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f5 > 27.0;,40246.000000000015,40246,1.0000000000000004,0.35771727561950684,0,0.0
9,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f2 <= 1.0;,70692.0,70692,1.0,0.3538224846124649,0,0.0
10,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f22 <= 5.0 AND f18 < 0.0;,1.0,0,1.0,0.4212576895952225,0,0.0
11,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f14 > 0.0 AND f21 <= 5.0;,4412.175185035967,5088,1.153172706572512,0.4137512296438217,0,0.0
12,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f1 >= 1.0 AND f9 < 0.0;,1.0,0,1.0,0.4550395533442497,0,0.0
13,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f13 = 1.0 AND f20 > 6.0;,52811.29020306129,53430,1.011715483461202,0.5011288449168205,0,0.0
14,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f7 > 0.0 AND f15 >= 4.0;,1787.7621205571068,2527,1.4134990169791326,0.4165107384324074,0,0.0
15,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f13 < 1.0 AND f3 = 0.0 AND f7 >= 0.0;,1500.3771377978383,1741,1.160374919172211,0.5426323041319847,0,0.0
16,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f15 < 2.0 AND f5 < 28.0 AND f19 < 1.0 AND f16 < 0.0 AND f13 = 1.0;,1.0,0,1.0,0.7044197991490364,0,0.0
17,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f22 = 7.0 AND f13 <= 1.0;,11425.000000000004,11425,1.0000000000000002,0.4093870520591736,0,0.0
18,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f4 > 1.0;,1.0,0,1.0,0.3567934036254883,0,0.0
19,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f9 >= 1.0 AND f8 < 0.0 AND f13 < 1.0 AND f14 <= 0.0 AND f20 = 11.0;,1.0,0,1.0,0.708460807800293,0,0.0
20,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f3 < 1.0 AND f9 > 0.0 AND f7 >= 0.0 AND f1 = 1.0 AND f14 < 0.0;,1.0,0,1.0,0.697367824614048,0,0.0
21,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f12 <= 0.0;,67672.0,67672,1.0,0.32381340861320496,0,0.0
22,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f22 = 4.0 AND f17 > 0.0 AND f19 >= 1.0;,1414.1611266917205,1315,1.0754077009062513,0.5378443747758865,0,0.0
23,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f2 > 1.0 AND f1 > 1.0 AND f20 >= 9.0;,1.0,0,1.0,0.4993900656700134,0,0.0
24,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f3 >= 1.0 AND f15 < 1.0;,1.0,0,1.0,0.4182793200016022,0,0.0
25,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f12 > 0.0 AND f3 > 1.0 AND f22 = 7.0;,1.0,0,1.0,0.5569374188780785,0,0.0
26,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f20 <= 12.0;,65266.0,65266,1.0,0.3414927050471306,0,0.0
27,SELECT COUNT(*) FROM diabetes_binary_5050split_health_indicators_brfss2015 WHERE f19 > 0.0 AND f1 > 1.0 AND f20 <= 8.0 AND f3 <= 0.0;,1.0,0,1.0,0.6099333986639977,0,0.0
