query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f18 < 0.0 AND f15 <= 3.0 AND f17 = 10.0 AND f19 > 0.0;,1.0,0,1.0,1.4925077557563782,0,0.0
1,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f10 > 1.0 AND f5 <= 33.0 AND f3 = 1.0 AND f18 < 1.0;,1.0,0,1.0,1.435265876352787,0,0.0
2,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f1 = 0.0 AND f17 <= 0.0 AND f3 <= 0.0 AND f2 < 1.0 AND f7 < 0.0;,1.0,0,1.0,1.6168272122740746,0,0.0
3,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f16 <= 0.0 AND f1 >= 1.0 AND f22 = 7.0;,3841.4412359237404,3783,1.0154483838022046,1.1746156960725784,0,0.0
4,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f9 < 1.0;,61759.999999999985,61760,1.0000000000000002,0.7368419319391251,0,0.0
5,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f10 > 1.0 AND f1 <= 0.0 AND f3 > 0.0 AND f19 > 1.0 AND f4 < 1.0;,1.0,0,1.0,1.6345726326107979,0,0.0
6,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f16 <= 0.0;,175680.0,175680,1.0,0.7489118725061417,0,0.0
7,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f3 >= 1.0 AND f19 > 0.0 AND f21 >= 5.0 AND f7 <= 0.0;,31404.647617013212,32281,1.0279051812226683,1.406506635248661,0,0.0
8,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f5 > 26.0;,143891.99999999997,143892,1.0000000000000002,0.7470697164535522,0,0.0
9,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f2 <= 1.0;,253680.0,253680,1.0,0.7324321195483208,0,0.0
10,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f22 <= 5.0 AND f18 < 0.0;,1.0,0,1.0,0.9431373327970505,0,0.0
11,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f14 > 0.0 AND f21 <= 5.0;,13038.59954770894,15562,1.1935330894286462,0.9421119466423988,0,0.0
12,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f1 >= 0.0 AND f9 < 0.0;,1.0,0,1.0,0.9708404541015625,0,0.0
13,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f13 = 1.0 AND f20 > 5.0;,189499.1334628369,191727,1.0117566054073803,0.9590936824679375,0,0.0
14,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f7 > 0.0 AND f15 >= 4.0;,3124.653011102218,5010,1.603378033400492,0.9541688486933708,0,0.0
15,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f13 < 1.0 AND f3 = 0.0 AND f7 >= 0.0;,7108.501773929826,8293,1.1666312063695725,1.1604465544223785,0,0.0
16,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f15 < 2.0 AND f5 < 27.0 AND f19 < 1.0 AND f16 < 0.0 AND f13 = 1.0;,1.0,0,1.0,1.56305730342865,0,0.0
17,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f22 = 8.0 AND f13 <= 1.0;,90385.00000000001,90385,1.0000000000000002,0.9684236720204353,0,0.0
18,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f4 > 1.0;,1.0,0,1.0,0.7142685353755951,0,0.0
19,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f9 >= 1.0 AND f8 < 0.0 AND f13 < 1.0 AND f14 <= 0.0 AND f20 = 10.0;,1.0,0,1.0,1.5499694272875786,0,0.0
20,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f3 < 1.0 AND f9 > 0.0 AND f7 >= 0.0 AND f1 = 0.0 AND f14 < 0.0;,1.0,0,1.0,1.610277220606804,0,0.0
21,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f12 <= 0.0;,239424.0,239424,1.0,0.7518846541643143,0,0.0
22,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f22 = 4.0 AND f17 > 0.0 AND f19 >= 1.0;,3564.861936693963,3226,1.1050408979212532,1.1698156595230103,0,0.0
23,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f2 > 1.0 AND f1 > 0.0 AND f20 >= 8.0;,1.0,0,1.0,1.1864304542541504,0,0.0
24,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f3 >= 1.0 AND f15 < 1.0;,1.0,0,1.0,0.9638871997594833,0,0.0
25,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f12 > 0.0 AND f3 > 1.0 AND f22 = 8.0;,1.0,0,1.0,1.1732559651136398,0,0.0
26,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f20 <= 12.0;,236317.0,236317,1.0,0.7254220545291901,0,0.0
27,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f19 > 0.0 AND f1 > 0.0 AND f20 <= 7.0 AND f3 <= 0.0;,3333.2836957037766,1223,2.7254977070349766,1.3830363750457764,0,0.0
28,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f15 = 2.0 AND f18 <= 0.0 AND f3 < 0.0 AND f17 > 30.0 AND f1 = 0.0;,1.0,0,1.0,1.5598312020301819,0,0.0
29,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f9 = 0.0 AND f1 = 0.0 AND f12 >= 0.0 AND f10 <= 1.0;,51879.550004059114,48701,1.065266627051993,1.352519728243351,0,0.0
30,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f8 < 0.0 AND f11 <= 1.0 AND f13 < 1.0 AND f22 < 7.0;,1.0,0,1.0,1.6019176691770554,0,0.0
31,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f11 > 0.0 AND f7 < 0.0 AND f5 <= 23.0 AND f16 >= 0.0 AND f12 <= 0.0;,1.0,0,1.0,1.5750927850604057,0,0.0
32,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f21 = 5.0 AND f17 >= 0.0 AND f16 > 0.0 AND f22 = 6.0;,3088.9373931782548,3665,1.1864921600851954,1.3742195442318916,0,0.0
33,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f22 >= 8.0;,90385.00000000001,90385,1.0000000000000002,0.7233563810586929,0,0.0
34,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f12 < 0.0 AND f10 <= 1.0 AND f21 > 4.0 AND f19 < 0.0 AND f1 > 0.0;,1.0,0,1.0,1.609821803867817,0,0.0
35,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f15 = 2.0;,89083.99999999999,89084,1.0000000000000002,0.7140310481190681,0,0.0
36,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f3 <= 0.0 AND f22 < 6.0 AND f7 <= 0.0;,44555.41680810877,41881,1.0638575203101353,1.1598896235227585,0,0.0
37,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f2 = 1.0 AND f6 = 1.0 AND f8 <= 0.0 AND f9 < 1.0 AND f12 <= 0.0;,11033.740293890954,12615,1.1433113036913276,1.580914482474327,0,0.0
38,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f5 <= 20.0 AND f15 = 3.0 AND f7 = 0.0 AND f21 <= 5.0;,2186.732352100252,1781,1.2278115396407927,1.5859995037317276,0,0.0
39,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f21 > 6.0 AND f7 < 0.0 AND f4 > 1.0;,1.0,0,1.0,1.1773863807320595,0,0.0
40,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f18 >= 0.0 AND f11 > 1.0 AND f9 <= 0.0;,1.0,0,1.0,1.1830078437924385,0,0.0
41,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f18 > 0.0 AND f14 > 0.0 AND f9 > 1.0;,1.0,0,1.0,1.1929767206311226,0,0.0
42,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f18 < 1.0 AND f11 < 1.0;,38731.51597355473,36803,1.052401053543318,0.9755128994584084,0,0.0
43,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f17 > 30.0 AND f22 <= 6.0 AND f15 = 3.0 AND f16 = 0.0 AND f19 < 1.0;,1.0,0,1.0,1.6805874183773994,0,0.0
44,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f17 = 0.0 AND f18 >= 0.0 AND f9 = 0.0 AND f10 >= 1.0 AND f22 <= 8.0;,21559.795771437377,16167,1.3335681184782195,1.5607774257659912,0,0.0
45,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f14 = 0.0 AND f18 = 0.0;,195051.64026744297,196364,1.0067282681179077,0.9288201108574867,0,0.0
46,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f1 = 0.0 AND f18 > 0.0 AND f2 > 1.0 AND f17 < 30.0;,1.0,0,1.0,1.6332725062966347,0,0.0
47,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f18 <= 0.0;,211005.0,211005,1.0,0.7602833211421967,0,0.0
48,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f9 <= 1.0 AND f8 = 0.0 AND f16 > 0.0 AND f5 <= 25.0;,23689.755783041688,24621,1.0393099965017345,1.420123502612114,0,0.0
49,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f1 < 0.0 AND f9 >= 0.0 AND f5 >= 27.0 AND f2 = 0.0 AND f7 > 0.0;,1.0,0,1.0,1.5957280993461609,0,0.0
50,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f19 < 0.0 AND f4 = 1.0 AND f17 > 0.0 AND f20 <= 9.0;,1.0,0,1.0,1.4118598774075508,0,0.0
51,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f20 < 10.0 AND f6 < 1.0 AND f18 = 0.0 AND f7 < 0.0 AND f21 >= 5.0;,1.0,0,1.0,1.6248207539319992,0,0.0
52,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f11 < 1.0 AND f20 < 7.0;,13768.878749265705,13521,1.0183328710351087,0.9849909693002701,0,0.0
53,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f5 < 25.0;,72080.0,72080,1.0,0.7619690150022507,0,0.0
54,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f9 > 1.0;,1.0,0,1.0,0.765576958656311,0,0.0
55,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f14 > 0.0 AND f18 < 0.0 AND f5 >= 32.0 AND f7 > 0.0;,1.0,0,1.0,1.3993559405207634,0,0.0
56,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f21 <= 4.0 AND f11 > 0.0 AND f17 = 0.0 AND f22 = 8.0 AND f7 <= 0.0;,13839.513561441452,6399,2.16276192552609,1.5742117539048195,0,0.0
57,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f7 < 0.0 AND f6 < 0.0;,1.0,0,1.0,0.9589856490492821,0,0.0
58,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f22 < 3.0 AND f4 <= 1.0 AND f19 > 0.0;,9202.651475280327,6982,1.3180537776110466,1.1935029178857803,0,0.0
59,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f13 >= 1.0 AND f15 < 3.0 AND f14 >= 0.0;,127927.80676847388,129006,1.0084281381723166,1.1356640607118607,0,0.0
60,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f21 > 6.0;,1.0,0,1.0,0.7424056529998779,0,0.0
61,SELECT COUNT(*) FROM diabetes_binary_health_indicators_brfss2015 WHERE f6 >= 1.0 AND f14 <= 0.0;,102359.53315255314,101247,1.0109883073330879,0.9386343881487846,0,0.0
