query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM ethylene_co WHERE f18 = 4101.77 AND f15 = 4319.01 AND f19 > 3522.61 AND f7 >= 5382.3;,1.0,0,1.0,16.604730000835843,0,0.0
1,SELECT COUNT(*) FROM ethylene_co WHERE f3 > 10.0 AND f18 <= 6366.98;,27687.0105601471,25913,1.0684602539322772,7.494033001421485,0,0.0
2,SELECT COUNT(*) FROM ethylene_co WHERE f6 > 2232.46 AND f1 < 3040.942 AND f17 > 1283.33 AND f3 >= 8.33;,16779.022492093845,17523,1.0443397407838693,11.728473000403028,0,0.0
3,SELECT COUNT(*) FROM ethylene_co WHERE f19 >= 5501.45 AND f7 > 5641.95 AND f17 > 1303.26 AND f8 >= 2335.12;,64957.825693521045,65755,1.0122721827272994,12.930277996929362,0,0.0
4,SELECT COUNT(*) FROM ethylene_co WHERE f18 = 4334.38 AND f3 > 0.0 AND f9 = 1950.52 AND f11 <= 3138.59;,1.0,0,1.0,12.17018099850975,0,0.0
5,SELECT COUNT(*) FROM ethylene_co WHERE f10 > 5268.39;,482273.9999999994,482274,1.000000000000001,5.537876997550484,0,0.0
6,SELECT COUNT(*) FROM ethylene_co WHERE f1 < 3355.504;,335543.9999999906,335544,1.000000000000028,5.4265040016616695,0,0.0
7,SELECT COUNT(*) FROM ethylene_co WHERE f16 <= 1103.48;,556266.9999999995,556267,1.0000000000000009,4.114289004064631,0,0.0
8,SELECT COUNT(*) FROM ethylene_co WHERE f3 >= 0.0 AND f7 > 4806.25 AND f9 > 2640.93 AND f11 < 3930.39;,1.0,0,1.0,11.69968400063226,0,0.0
9,SELECT COUNT(*) FROM ethylene_co WHERE f1 <= 1258.358;,125828.99999999664,125829,1.0000000000000266,5.2178349942550994,0,0.0
10,SELECT COUNT(*) FROM ethylene_co WHERE f6 < 5204.53 AND f18 <= 3486.4 AND f7 <= 6263.43 AND f15 <= 2474.87;,196803.34035086844,198399,1.0081078890545596,13.846642003045417,0,0.0
