query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM ethylene_methane WHERE f18 = 1715.13 AND f15 = 2487.8 AND f19 > 1468.68 AND f7 >= 3566.81;,1.0,0,1.0,15.473874998860992,0,0.0
1,SELECT COUNT(*) FROM ethylene_methane WHERE f3 > 10.0 AND f18 <= 3148.15;,34667.965348918995,20120,1.723059907997962,7.0383679994847625,0,0.0
2,SELECT COUNT(*) FROM ethylene_methane WHERE f6 > 1235.46 AND f1 < 3041.245 AND f17 > 2978.45 AND f3 >= 6.67;,9982.339348437812,0,9982.339348437812,11.74061199708376,0,0.0
3,SELECT COUNT(*) FROM ethylene_methane WHERE f19 >= 2611.87 AND f7 > 3908.63 AND f17 > 3183.13 AND f8 >= 2572.64;,45538.088805785264,45838,1.006585941616782,12.530013002105989,0,0.0
4,SELECT COUNT(*) FROM ethylene_methane WHERE f18 = 1810.62 AND f3 > 0.0 AND f9 = 900.19 AND f11 <= 1604.71;,1.0,0,1.0,12.111373987863772,0,0.0
5,SELECT COUNT(*) FROM ethylene_methane WHERE f10 > 2947.0;,482076.0000000005,482076,1.000000000000001,5.305704995407723,0,0.0
6,SELECT COUNT(*) FROM ethylene_methane WHERE f1 < 3355.817;,335543.9999999665,335544,1.0000000000001,4.790054008481093,0,0.0
7,SELECT COUNT(*) FROM ethylene_methane WHERE f16 <= 2158.39;,556165.0,556165,1.0,4.6141189959598705,0,0.0
8,SELECT COUNT(*) FROM ethylene_methane WHERE f3 >= 0.0 AND f7 > 3098.26 AND f9 > 3074.01 AND f11 < 2000.23;,1.133141731219115,0,1.133141731219115,11.432754006818868,0,0.0
9,SELECT COUNT(*) FROM ethylene_methane WHERE f1 <= 1258.55;,125829.99999999546,125830,1.000000000000036,4.503830001340248,0,0.0
10,SELECT COUNT(*) FROM ethylene_methane WHERE f6 < 3597.43 AND f18 <= 1564.96 AND f7 <= 4461.23 AND f15 <= 1235.87;,193065.21219923245,196050,1.0154599980326202,12.92775799811352,0,0.0
11,SELECT COUNT(*) FROM ethylene_methane WHERE f7 < 1240.19 AND f1 <= 2936.387 AND f9 = 3900.14 AND f10 > 1434.1;,1.0,0,1.0,13.139562011929229,0,0.0
12,SELECT COUNT(*) FROM ethylene_methane WHERE f7 > 2839.59 AND f15 >= 2836.64;,177804.4038369308,177793,1.000064141090655,7.672929001273587,0,0.0
13,SELECT COUNT(*) FROM ethylene_methane WHERE f13 < 2552.61 AND f3 < 8.33 AND f18 = 1062.3;,25.5367527156253,31,1.2139366482971765,8.93033400643617,0,0.0
14,SELECT COUNT(*) FROM ethylene_methane WHERE f12 <= 3658.49 AND f15 < 2750.06 AND f5 < 1796.33;,327376.7558656986,329357,1.0060488232558384,9.418428991921246,0,0.0
15,SELECT COUNT(*) FROM ethylene_methane WHERE f10 < 3792.79 AND f8 < 1028.34;,303019.2346680108,303963,1.0031145393559693,7.8244040050776675,0,0.0
16,SELECT COUNT(*) FROM ethylene_methane WHERE f7 > 1338.72 AND f13 > 2562.36 AND f16 >= 2461.72 AND f3 <= 0.0 AND f19 <= 1607.78;,1412.5635948188205,571,2.4738416721870764,14.01791199168656,0,0.0
17,SELECT COUNT(*) FROM ethylene_methane WHERE f16 < 623.33 AND f10 <= 2354.96 AND f17 = 2872.41 AND f6 > 3989.844 AND f15 < 1918.29;,1.0,0,1.0,14.861987991025671,0,0.0
18,SELECT COUNT(*) FROM ethylene_methane WHERE f1 <= 4089.819 AND f3 < 6.67;,278185.65483755246,291263,1.047009415960302,5.9371730021666735,0,0.0
19,SELECT COUNT(*) FROM ethylene_methane WHERE f2 >= 0.0;,1048575.0,1048575,1.0,2.860909007722512,0,0.0
20,SELECT COUNT(*) FROM ethylene_methane WHERE f17 < 2236.12 AND f5 >= 1820.16 AND f3 = 10.0;,14567.458646719253,20021,1.3743646359695652,7.25146199692972,0,0.0
21,SELECT COUNT(*) FROM ethylene_methane WHERE f5 >= 1786.15 AND f2 > 0.0 AND f1 > 8493.929 AND f16 > 2408.11 AND f15 >= 2010.09;,19001.10733523232,18000,1.0556170741795732,12.812165994546376,0,0.0
22,SELECT COUNT(*) FROM ethylene_methane WHERE f3 = 6.67 AND f19 > 1926.62;,113186.11673090202,109994,1.0290208259623437,6.020180997438729,0,0.0
23,SELECT COUNT(*) FROM ethylene_methane WHERE f11 <= 1436.44 AND f12 <= 3175.5;,66367.57433516503,66208,1.0024101971841022,7.142066009691916,0,0.0
24,SELECT COUNT(*) FROM ethylene_methane WHERE f16 > 2685.3;,230547.00000000026,230547,1.000000000000001,4.396413991344161,0,0.0
25,SELECT COUNT(*) FROM ethylene_methane WHERE f13 > 2552.61 AND f19 <= 1607.78 AND f1 <= 4928.668 AND f3 = 10.0 AND f2 <= 83.33;,7179.894698458969,7709,1.0736926269482188,12.380642001517117,0,0.0
26,SELECT COUNT(*) FROM ethylene_methane WHERE f18 = 2070.25 AND f3 <= 0.0 AND f17 < 543.3 AND f1 > 9857.076;,1.0,0,1.0,11.297219010884874,0,0.0
27,SELECT COUNT(*) FROM ethylene_methane WHERE f16 < 1713.12 AND f9 = 4162.88 AND f1 = 3146.102 AND f12 >= 3241.09;,1.0,0,1.0,12.878737004939467,0,0.0
28,SELECT COUNT(*) FROM ethylene_methane WHERE f16 >= 2907.56 AND f8 <= 1051.35 AND f11 < 2621.46 AND f13 < 2741.6;,278.44123660077634,311,1.1169322611718817,12.156071010394953,0,0.0
29,SELECT COUNT(*) FROM ethylene_methane WHERE f11 > 3144.78 AND f7 >= 1406.93 AND f5 > 1733.25 AND f17 <= 2448.84 AND f8 < 1430.27;,58727.83770848211,59080,1.0059965138383944,14.228936997824349,0,0.0
30,SELECT COUNT(*) FROM ethylene_methane WHERE f13 <= 2923.85 AND f17 > 2115.48 AND f16 >= 570.14 AND f11 > 4252.24;,86226.59818851018,85752,1.0055345436667387,12.412159005180001,0,0.0
