query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM gt_2011 WHERE f9 = 11.758 AND f8 = 135.03 AND f10 > 0.763 AND f4 >= 4.219;,1.0,0,1.0,3.55146099900594,0,0.0
1,SELECT COUNT(*) FROM gt_2011 WHERE f2 > 1024.1 AND f9 <= 13.566;,408.7405982158458,327,1.2499712483665009,2.203112999268342,0,0.0
2,SELECT COUNT(*) FROM gt_2011 WHERE f11 > 73.063 AND f10 > 0.42 AND f3 < 72.448 AND f1 > 24.79;,6.8357946793830475,15,2.1943315596122903,1.89409500308102,0,0.0
3,SELECT COUNT(*) FROM gt_2011 WHERE f6 >= 1100.0 AND f8 > 138.334 AND f4 > 4.988 AND f9 >= 12.235;,457.9353517087868,515,1.1246128914884521,3.914979999535717,0,0.0
4,SELECT COUNT(*) FROM gt_2011 WHERE f9 = 11.828 AND f2 > 1012.4 AND f5 = 20.082 AND f6 <= 1062.5;,1.0,0,1.0,4.484007997234585,0,0.0
5,SELECT COUNT(*) FROM gt_2011 WHERE f5 > 25.215;,3408.999999999996,3409,1.000000000000001,2.4836770026013255,0,0.0
6,SELECT COUNT(*) FROM gt_2011 WHERE f11 < 53.669;,370.0000000000005,370,1.0000000000000013,0.9116670007642824,0,0.0
7,SELECT COUNT(*) FROM gt_2011 WHERE f1 <= 17.388 AND f8 > 134.43;,1894.2620468506566,1892,1.0011955850162033,2.368284000112908,0,0.0
8,SELECT COUNT(*) FROM gt_2011 WHERE f11 >= 64.153 AND f4 <= 3.114 AND f5 < 21.354 AND f6 > 1085.3 AND f1 > 6.11;,1.0,0,1.0,4.261833000782644,0,0.0
9,SELECT COUNT(*) FROM gt_2011 WHERE f8 = 134.72 AND f3 < 72.448 AND f9 <= 12.145 AND f4 <= 3.504;,1.0,0,1.0,3.3842730008473154,0,0.0
10,SELECT COUNT(*) FROM gt_2011 WHERE f4 < 3.131 AND f1 <= 11.585 AND f5 = 31.069 AND f9 > 10.783;,1.0,0,1.0,4.217233999952441,0,0.0
11,SELECT COUNT(*) FROM gt_2011 WHERE f4 > 3.864 AND f8 >= 155.249;,1259.999999999971,1260,1.000000000000023,1.6854050008987542,0,0.0
