query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM naticusdroid WHERE f72 < 0.0 AND f60 = 0.0 AND f58 = 0.0 AND f66 > 0.0;,1.0,0,1.0,0.9967099758796394,0,0.0
1,SELECT COUNT(*) FROM naticusdroid WHERE f39 > 0.0 AND f19 <= 0.0 AND f12 = 0.0 AND f69 < 0.0;,1.0,0,1.0,1.104149967432022,0,0.0
2,SELECT COUNT(*) FROM naticusdroid WHERE f2 < 0.0 AND f68 > 1.0 AND f9 >= 0.0 AND f8 = 0.0 AND f5 = 0.0;,1.0,0,1.0,1.5628730179741979,0,0.0
3,SELECT COUNT(*) FROM naticusdroid WHERE f82 > 1.0 AND f38 > 0.0;,1.0,0,1.0,0.8383819949813187,0,0.0
4,SELECT COUNT(*) FROM naticusdroid WHERE f84 >= 0.0 AND f36 < 0.0 AND f53 >= 0.0 AND f71 > 0.0;,1.0,0,1.0,1.2628250406123698,0,0.0
5,SELECT COUNT(*) FROM naticusdroid WHERE f14 > 0.0 AND f52 < 0.0 AND f38 <= 0.0 AND f50 <= 0.0 AND f9 > 0.0;,1.0,0,1.0,1.5165220247581601,0,0.0
6,SELECT COUNT(*) FROM naticusdroid WHERE f81 >= 0.0 AND f26 > 1.0 AND f87 > 1.0 AND f35 < 0.0 AND f44 > 0.0;,1.0,0,1.0,1.6070849960669875,0,0.0
7,SELECT COUNT(*) FROM naticusdroid WHERE f8 <= 0.0;,28918.000000000004,28918,1.0000000000000002,0.45042799320071936,0,0.0
8,SELECT COUNT(*) FROM naticusdroid WHERE f72 = 0.0 AND f25 < 0.0;,1.0,0,1.0,0.6343849818222225,0,0.0
9,SELECT COUNT(*) FROM naticusdroid WHERE f83 < 0.0 AND f50 >= 0.0 AND f15 >= 0.0 AND f51 < 0.0;,1.0,0,1.0,1.197079021949321,0,0.0
10,SELECT COUNT(*) FROM naticusdroid WHERE f51 = 0.0 AND f78 > 0.0;,795.105981308355,701,1.1342453371017902,0.6458570132963359,0,0.0
11,SELECT COUNT(*) FROM naticusdroid WHERE f28 > 0.0 AND f57 >= 0.0;,949.0000000000001,949,1.0000000000000002,0.8330520358867943,0,0.0
12,SELECT COUNT(*) FROM naticusdroid WHERE f50 = 0.0 AND f10 < 0.0 AND f12 = 0.0;,1.0,0,1.0,0.9497639839537442,0,0.0
13,SELECT COUNT(*) FROM naticusdroid WHERE f48 = 0.0 AND f80 = 0.0 AND f59 <= 0.0;,27387.32509811369,27413,1.0009374738786767,0.955843017436564,0,0.0
14,SELECT COUNT(*) FROM naticusdroid WHERE f81 < 0.0 AND f20 < 0.0;,1.0,0,1.0,0.8955160155892372,0,0.0
15,SELECT COUNT(*) FROM naticusdroid WHERE f21 < 0.0 AND f81 <= 0.0;,1.0,0,1.0,0.9860009886324406,0,0.0
16,SELECT COUNT(*) FROM naticusdroid WHERE f78 > 0.0 AND f11 = 0.0 AND f54 < 0.0 AND f7 <= 1.0;,1.0,0,1.0,1.1183600290678442,0,0.0
17,SELECT COUNT(*) FROM naticusdroid WHERE f54 = 0.0 AND f77 > 0.0 AND f63 < 0.0;,1.0,0,1.0,0.9071159875020385,0,0.0
