query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM raw1 WHERE f36 < 4.147 AND f30 = 1.881 AND f29 = 3.489 AND f33 > 1.89;,1.0,0,1.0,0.8364410023204982,0,0.0
1,SELECT COUNT(*) FROM raw1 WHERE f20 > 4.705 AND f10 <= 4.188 AND f6 = 3.383 AND f35 < 4.485;,1.0,0,1.0,0.7060369825921953,0,0.0
2,SELECT COUNT(*) FROM raw1 WHERE f1 < 1.316 AND f34 > 4.177 AND f5 >= 3.46 AND f4 = 3.335 AND f3 = 2.0;,1.0,0,1.0,0.9050689986906946,0,0.0
3,SELECT COUNT(*) FROM raw1 WHERE f41 > 3.638 AND f19 > 4.523;,844.6032055860197,844,1.0007146985616346,0.5293290014378726,0,0.0
4,SELECT COUNT(*) FROM raw1 WHERE f18 >= 4.79 AND f27 < 2.678 AND f36 >= 3.713 AND f6 > 1.06;,149.04980720288262,145,1.0279297048474663,0.7385169737972319,0,0.0
5,SELECT COUNT(*) FROM raw1 WHERE f7 > 0.998 AND f26 < 2.099 AND f19 <= 1.155 AND f25 <= 2.974 AND f5 > 3.207;,174.88715513600184,170,1.0287479713882461,0.8166570332832634,0,0.0
6,SELECT COUNT(*) FROM raw1 WHERE f41 >= 2.595 AND f13 <= 0.951 AND f18 < 1.548 AND f22 > 2.257 AND f6 > 0.968;,97.20150970503174,104,1.0699422294530094,0.8415759657509625,0,0.0
7,SELECT COUNT(*) FROM raw1 WHERE f32 = 3.367 AND f12 < 1.947 AND f36 <= 3.186 AND f13 <= 1.51;,1.0,0,1.0,0.6575270090252161,0,0.0
8,SELECT COUNT(*) FROM raw1 WHERE f14 > 2.536 AND f1 < 1.317 AND f18 = 3.038 AND f38 = 4.43;,1.0,0,1.0,0.8032320183701813,0,0.0
9,SELECT COUNT(*) FROM raw1 WHERE f3 < 1.694;,5518.000000000219,5518,1.0000000000000397,0.40928402449935675,0,0.0
10,SELECT COUNT(*) FROM raw1 WHERE f17 <= 2.497 AND f1 > 1.306 AND f40 < 1.394 AND f22 < 4.097;,1030.0439440318983,946,1.088841378469237,0.7874270086176693,0,0.0
11,SELECT COUNT(*) FROM raw1 WHERE f39 >= 2.914;,11521.999999998712,11522,1.0000000000001117,0.4084029933437705,0,0.0
12,SELECT COUNT(*) FROM raw1 WHERE f30 <= 1.631 AND f9 < 1.92 AND f38 < 2.579 AND f31 < 4.258 AND f37 < 1.954;,156.58994574938987,155,1.0102577145121927,0.8016539504751563,0,0.0
13,SELECT COUNT(*) FROM raw1 WHERE f13 > 3.194 AND f25 > 1.471 AND f31 = 1.082 AND f39 < 2.277 AND f6 <= 4.785;,1.0,0,1.0,0.8344190428033471,0,0.0
14,SELECT COUNT(*) FROM raw1 WHERE f27 = 2.54 AND f39 > 1.861 AND f32 < 1.595;,1.0,0,1.0,0.5708130192942917,0,0.0
15,SELECT COUNT(*) FROM raw1 WHERE f36 < 2.079 AND f40 > 1.018 AND f5 <= 2.398 AND f18 < 3.333;,1729.1295384504353,1755,1.0149615520261996,0.6964770145714283,0,0.0
16,SELECT COUNT(*) FROM raw1 WHERE f3 >= 1.868;,17519.99999999812,17520,1.0000000000001072,0.402913021389395,0,0.0
17,SELECT COUNT(*) FROM raw1 WHERE f34 >= 1.375 AND f37 <= 1.65 AND f9 = 2.768;,1.0,0,1.0,0.6241369992494583,0,0.0
18,SELECT COUNT(*) FROM raw1 WHERE f9 >= 2.885 AND f38 > 1.078 AND f3 > 4.186 AND f2 > 1.927 AND f31 >= 2.58;,392.98323718944306,282,1.3935575786859682,0.8388489950448275,0,0.0
19,SELECT COUNT(*) FROM raw1 WHERE f5 >= 3.884 AND f29 < 1.155;,623.4515445680429,630,1.010503551541434,0.4964690306223929,0,0.0
20,SELECT COUNT(*) FROM raw1 WHERE f23 <= 1.289 AND f6 <= 1.06 AND f31 > 4.042;,59.059428203629786,56,1.054632646493389,0.5958930123597383,0,0.0
21,SELECT COUNT(*) FROM raw1 WHERE f25 > 1.338 AND f38 > 4.389 AND f1 <= 1.32 AND f39 <= 2.711 AND f5 = 4.696;,1.0,0,1.0,0.9086789796128869,0,0.0
22,SELECT COUNT(*) FROM raw1 WHERE f29 = 3.744 AND f30 >= 1.043 AND f35 > 4.175 AND f6 > 3.55;,1.0,0,1.0,0.7402689661830664,0,0.0
23,SELECT COUNT(*) FROM raw1 WHERE f8 <= 4.252 AND f32 > 2.285;,12552.447904760293,12572,1.0015576320561579,0.5124610033817589,0,0.0
