query_no,query,cardinality_predict,cardinality_true,q_error,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM tuandromd WHERE f222 <= 0.0 AND f144 = 0.0 AND f220 < 0.0 AND f237 <= 0.0;,1.0,0,1.0,4.254937171936035,0,0.0
1,SELECT COUNT(*) FROM tuandromd WHERE f204 > 0.0 AND f48 > 0.0 AND f25 <= 0.0 AND f115 = 0.0 AND f78 < 0.0;,1.0,0,1.0,3.6668814718723297,0,0.0
2,SELECT COUNT(*) FROM tuandromd WHERE f4 < 0.0 AND f213 = 0.0 AND f136 <= 0.0 AND f17 <= 0.0 AND f16 < 1.0;,1.0,0,1.0,4.195524379611015,0,0.0
3,SELECT COUNT(*) FROM tuandromd WHERE f60 > 0.0 AND f164 >= 0.0 AND f76 = 0.0 AND f128 >= 0.0 AND f2 < 0.0;,1.0,0,1.0,3.888937644660473,0,0.0
4,SELECT COUNT(*) FROM tuandromd WHERE f74 <= 0.0 AND f8 >= 0.0 AND f18 > 0.0 AND f145 > 0.0 AND f197 < 0.0;,1.0,0,1.0,3.7696203216910362,0,0.0
5,SELECT COUNT(*) FROM tuandromd WHERE f121 <= 0.0;,4464.0,4464,1.0,1.593451015651226,0,0.0
6,SELECT COUNT(*) FROM tuandromd WHERE f19 >= 0.0 AND f145 > 0.0 AND f162 >= 0.0 AND f51 <= 0.0;,4.911356085774692,5,1.0180487654890382,3.499019891023636,0,0.0
7,SELECT COUNT(*) FROM tuandromd WHERE f35 > 0.0;,22.0,22,1.0,1.7173923552036285,0,0.0
8,SELECT COUNT(*) FROM tuandromd WHERE f16 <= 0.0;,2995.999999999999,2996,1.0000000000000002,1.9401945173740387,0,0.0
9,SELECT COUNT(*) FROM tuandromd WHERE f175 <= 0.0 AND f144 < 0.0;,1.0,0,1.0,2.348911017179489,0,0.0
10,SELECT COUNT(*) FROM tuandromd WHERE f108 > 0.0 AND f165 <= 0.0;,1.0,1,1.0,2.321014180779457,0,0.0
11,SELECT COUNT(*) FROM tuandromd WHERE f1 >= 0.0 AND f70 < 0.0;,1.0,0,1.0,2.1331943571567535,0,0.0
12,SELECT COUNT(*) FROM tuandromd WHERE f101 = 1.0 AND f219 > 0.0;,21.308335166885097,30,1.4078997615272386,2.662493847310543,0,0.0
13,SELECT COUNT(*) FROM tuandromd WHERE f55 > 0.0 AND f114 >= 0.0;,23.999999999999922,24,1.0000000000000033,2.371116541326046,0,0.0
14,SELECT COUNT(*) FROM tuandromd WHERE f99 < 0.0 AND f19 < 0.0 AND f20 = 0.0;,1.0,0,1.0,2.8318073600530624,0,0.0
15,SELECT COUNT(*) FROM tuandromd WHERE f96 = 0.0 AND f160 = 0.0 AND f117 <= 0.0;,4440.080350620891,4442,1.00043234563961,2.6360908523201942,0,0.0
16,SELECT COUNT(*) FROM tuandromd WHERE f161 < 0.0 AND f40 < 0.0;,1.0,0,1.0,2.1730074658989906,0,0.0
17,SELECT COUNT(*) FROM tuandromd WHERE f41 = 0.0 AND f190 <= 0.0;,4343.461809635723,4365,1.0049587613079725,2.3102574050426483,0,0.0
18,SELECT COUNT(*) FROM tuandromd WHERE f155 > 0.0 AND f21 = 0.0 AND f108 < 0.0 AND f13 <= 0.0;,1.0,0,1.0,3.192134201526642,0,0.0
19,SELECT COUNT(*) FROM tuandromd WHERE f108 <= 0.0 AND f211 = 0.0 AND f232 > 0.0;,218.24125478012343,229,1.049297486081245,2.6900647208094597,0,0.0
20,SELECT COUNT(*) FROM tuandromd WHERE f59 = 0.0 AND f123 > 0.0;,1.0,0,1.0,2.2429367527365685,0,0.0
21,SELECT COUNT(*) FROM tuandromd WHERE f55 > 0.0 AND f235 <= 0.0 AND f53 < 0.0;,1.0,0,1.0,3.1859958544373512,0,0.0
22,SELECT COUNT(*) FROM tuandromd WHERE f12 >= 0.0;,4464.0,4464,1.0,1.5569515526294708,0,0.0
23,SELECT COUNT(*) FROM tuandromd WHERE f136 >= 0.0 AND f147 <= 0.0 AND f34 = 0.0;,4440.080350620891,4442,1.00043234563961,2.6708990335464478,0,0.0
24,SELECT COUNT(*) FROM tuandromd WHERE f36 >= 0.0 AND f152 >= 0.0 AND f9 > 0.0 AND f237 > 0.0 AND f5 > 0.0;,1.0,0,1.0,3.9744004607200623,0,0.0
25,SELECT COUNT(*) FROM tuandromd WHERE f82 <= 0.0 AND f35 >= 0.0 AND f19 < 0.0;,1.0,0,1.0,2.77529563754797,0,0.0
26,SELECT COUNT(*) FROM tuandromd WHERE f91 > 0.0 AND f22 > 0.0 AND f176 = 0.0;,1.0,0,1.0,2.7557257562875748,0,0.0
27,SELECT COUNT(*) FROM tuandromd WHERE f160 <= 0.0;,4464.0,4464,1.0,1.5786634758114815,0,0.0
28,SELECT COUNT(*) FROM tuandromd WHERE f150 > 0.0 AND f4 > 0.0 AND f156 <= 0.0 AND f19 <= 0.0;,185.46434092545618,146,1.270303704968878,3.671916201710701,0,0.0
29,SELECT COUNT(*) FROM tuandromd WHERE f118 = 0.0 AND f113 > 0.0 AND f119 = 0.0 AND f215 <= 0.0 AND f139 < 0.0;,1.0,0,1.0,4.04347013682127,0,0.0
30,SELECT COUNT(*) FROM tuandromd WHERE f128 <= 0.0;,4464.0,4464,1.0,1.6450108960270882,0,0.0
31,SELECT COUNT(*) FROM tuandromd WHERE f230 < 0.0 AND f3 = 0.0 AND f95 = 0.0;,1.0,0,1.0,3.2773446291685104,0,0.0
32,SELECT COUNT(*) FROM tuandromd WHERE f193 <= 0.0 AND f232 < 0.0;,1.0,0,1.0,2.1943021565675735,0,0.0
33,SELECT COUNT(*) FROM tuandromd WHERE f104 <= 0.0 AND f171 < 0.0 AND f65 < 0.0;,1.0,0,1.0,2.875089645385742,0,0.0
34,SELECT COUNT(*) FROM tuandromd WHERE f236 > 0.0 AND f82 >= 0.0 AND f54 > 0.0 AND f35 <= 0.0 AND f128 < 0.0;,1.0,0,1.0,4.038259387016296,0,0.0
35,SELECT COUNT(*) FROM tuandromd WHERE f98 >= 0.0 AND f161 <= 0.0 AND f134 > 0.0 AND f127 >= 0.0;,22.0,22,1.0,3.2493555918335915,0,0.0
36,SELECT COUNT(*) FROM tuandromd WHERE f11 >= 0.0 AND f174 = 0.0 AND f182 < 0.0 AND f72 <= 0.0 AND f147 > 0.0;,1.0,0,1.0,3.8162963464856148,0,0.0
37,SELECT COUNT(*) FROM tuandromd WHERE f61 > 0.0 AND f200 > 0.0 AND f37 = 0.0;,1.0,0,1.0,2.79125664383173,0,0.0
38,SELECT COUNT(*) FROM tuandromd WHERE f20 <= 0.0 AND f176 < 0.0 AND f51 <= 0.0;,1.0,0,1.0,2.9478613287210464,0,0.0
39,SELECT COUNT(*) FROM tuandromd WHERE f183 = 0.0 AND f10 = 1.0 AND f46 = 0.0 AND f58 <= 0.0 AND f70 < 0.0;,1.0,0,1.0,4.173825494945049,0,0.0
40,SELECT COUNT(*) FROM tuandromd WHERE f106 < 0.0;,1.0,0,1.0,1.5574106946587563,0,0.0
41,SELECT COUNT(*) FROM tuandromd WHERE f117 <= 0.0 AND f51 = 0.0 AND f161 = 0.0 AND f228 <= 0.0;,4331.583771517109,4334,1.0005578164039628,3.157461993396282,0,0.0
42,SELECT COUNT(*) FROM tuandromd WHERE f167 > 0.0 AND f53 < 0.0 AND f26 > 0.0;,1.0,0,1.0,2.9594460502266884,0,0.0
43,SELECT COUNT(*) FROM tuandromd WHERE f138 >= 0.0 AND f203 >= 0.0 AND f239 > 0.0;,593.8933528122717,594,1.00017957296074,3.1164558604359627,0,0.0
44,SELECT COUNT(*) FROM tuandromd WHERE f113 = 0.0;,4365.999999999999,4366,1.0000000000000002,1.6812272369861603,0,0.0
45,SELECT COUNT(*) FROM tuandromd WHERE f197 < 0.0 AND f71 <= 0.0 AND f125 < 0.0 AND f236 >= 0.0;,1.0,0,1.0,3.6637084558606148,0,0.0
46,SELECT COUNT(*) FROM tuandromd WHERE f121 = 0.0 AND f39 <= 0.0;,4441.027027027027,4442,1.00021908737935,2.196177840232849,0,0.0
47,SELECT COUNT(*) FROM tuandromd WHERE f149 <= 0.0 AND f177 = 0.0 AND f23 = 0.0 AND f195 < 0.0;,1.0,0,1.0,3.2420940697193146,0,0.0
48,SELECT COUNT(*) FROM tuandromd WHERE f132 <= 0.0 AND f216 < 1.0 AND f233 < 0.0 AND f144 = 0.0 AND f66 = 0.0;,1.0,0,1.0,4.236743785440922,0,0.0
49,SELECT COUNT(*) FROM tuandromd WHERE f52 > 0.0 AND f106 <= 0.0 AND f138 = 0.0 AND f30 = 0.0;,1.0,0,1.0,3.1470628455281258,0,0.0
50,SELECT COUNT(*) FROM tuandromd WHERE f140 > 0.0 AND f206 < 0.0 AND f145 = 0.0 AND f32 <= 0.0;,1.0,0,1.0,3.416115418076515,0,0.0
