Table Name,Best RDC Threshold
accelerometer_gyro_mobile_phone_dataset,0.7000
adelaide_data,0.6500
airqualityuci,0.5000
auction_verification,0.3500
bias_correction_ucl,0.7000
casp,0.5000
conflongdemo_jsi,0.3500
customerchurn,0.4000
d_spatial_network,0.4000
data1,0.2500
data_ref_until,0.7000
database_gas,0.7000
dataset,0.5000
diabetes_012_health_indicators_brfss2015,0.3500
diabetes_binary_5050split_health_indicators_brfss2015,0.6500
diabetes_binary_health_indicators_brfss2015,0.5000
ethylene_co,0.6500
ethylene_methane,0.5500
gt_2011,0.6500
gt_2012,0.5500
gt_2013,0.4500
gt_2014,0.6500
gt_2015,0.6000
metropt3,0.7000
naticusdroid,0.3000
nhanes_age_prediction,0.7000
parkinsons_updrs,0.6000
perth_data,0.7000
phiusiil_phishing_url_dataset,0.7000
pricerunner_aggregate,0.2500
rangequeriesaggregates,0.5000
raw1,0.6000
recipereviews,0.6500
secondary_data,0.3000
sgemm_product,0.2000
support2,0.7000
sydney_data,0.6500
tasmania_data,0.7000
testpad_pcb_xyrgb_v2,0.6500
train,0.7000
tuandromd,0.5000
wec_perth_49,0.7000
yearpredictionmsd,0.7000
