2025-04-17 10:01:41,175 [INFO ]  Creating naive ensemble.
2025-04-17 10:01:41,176 [INFO ]  Learning SPN for 20161007_210049.
2025-04-17 10:01:41,176 [DEBUG]  generate_join_sample(single_table=20161007_210049, relationship_list=None, split_condition=None)
2025-04-17 10:01:41,279 [DEBUG]  Using min_instance_slice parameter 2957.0.
2025-04-17 10:01:41,279 [INFO ]  SPN training phase with 295700 samples
2025-04-17 10:01:41,524 [DEBUG]  Built domains in 0.2445510532706976 sec
2025-04-17 10:01:41,997 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-17 10:01:41,999 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-17 10:01:42,157 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-17 10:01:42,518 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-17 10:01:42,520 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-17 10:01:42,609 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-17 10:01:42,611 [DEBUG]  Loaded backend agg version unknown.
2025-04-17 10:01:42,612 [DEBUG]  Loaded backend agg version unknown.
2025-04-17 10:01:42,667 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (295700, 20) (remaining tasks 0)
2025-04-17 10:01:43,724 [DEBUG]  		found 2 row clusters (in 1.05657 secs)
2025-04-17 10:01:43,744 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (147394, 20) (remaining tasks 1)
2025-04-17 10:01:51,376 [DEBUG]  		found 1 col clusters (in 7.63241 secs)
2025-04-17 10:01:51,448 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (148306, 20) (remaining tasks 1)
2025-04-17 10:01:58,919 [DEBUG]  		found 1 col clusters (in 7.47046 secs)
2025-04-17 10:01:58,946 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (147394, 20) (remaining tasks 1)
2025-04-17 10:01:59,884 [DEBUG]  		found 2 row clusters (in 0.93775 secs)
2025-04-17 10:01:59,902 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (148306, 20) (remaining tasks 2)
2025-04-17 10:02:00,718 [DEBUG]  		found 2 row clusters (in 0.81539 secs)
2025-04-17 10:02:00,727 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (74218, 20) (remaining tasks 3)
2025-04-17 10:02:09,807 [DEBUG]  		found 1 col clusters (in 9.07976 secs)
2025-04-17 10:02:09,848 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (73176, 20) (remaining tasks 3)
2025-04-17 10:02:17,646 [DEBUG]  		found 1 col clusters (in 7.79844 secs)
2025-04-17 10:02:17,676 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (74577, 20) (remaining tasks 3)
2025-04-17 10:02:26,600 [DEBUG]  		found 1 col clusters (in 8.92207 secs)
2025-04-17 10:02:26,632 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (73729, 20) (remaining tasks 3)
2025-04-17 10:02:35,190 [DEBUG]  		found 1 col clusters (in 8.55766 secs)
2025-04-17 10:02:35,215 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (74218, 20) (remaining tasks 3)
2025-04-17 10:02:35,767 [DEBUG]  		found 2 row clusters (in 0.53978 secs)
2025-04-17 10:02:35,776 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (73176, 20) (remaining tasks 4)
2025-04-17 10:02:36,245 [DEBUG]  		found 2 row clusters (in 0.46908 secs)
2025-04-17 10:02:36,255 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (74577, 20) (remaining tasks 5)
2025-04-17 10:02:36,734 [DEBUG]  		found 2 row clusters (in 0.47948 secs)
2025-04-17 10:02:36,744 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (73729, 20) (remaining tasks 6)
2025-04-17 10:02:37,218 [DEBUG]  		found 2 row clusters (in 0.47363 secs)
2025-04-17 10:02:37,223 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (37118, 20) (remaining tasks 7)
2025-04-17 10:02:46,869 [DEBUG]  		found 1 col clusters (in 9.64517 secs)
2025-04-17 10:02:46,875 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (37100, 20) (remaining tasks 7)
2025-04-17 10:02:54,827 [DEBUG]  		found 1 col clusters (in 7.95181 secs)
2025-04-17 10:02:54,834 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (36610, 20) (remaining tasks 7)
2025-04-17 10:03:03,383 [DEBUG]  		found 1 col clusters (in 8.54781 secs)
2025-04-17 10:03:03,389 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (36566, 20) (remaining tasks 7)
2025-04-17 10:03:10,761 [DEBUG]  		found 1 col clusters (in 7.37153 secs)
2025-04-17 10:03:10,768 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (37303, 20) (remaining tasks 7)
2025-04-17 10:03:18,554 [DEBUG]  		found 1 col clusters (in 7.78347 secs)
2025-04-17 10:03:18,561 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (37274, 20) (remaining tasks 7)
2025-04-17 10:03:28,143 [DEBUG]  		found 1 col clusters (in 9.58221 secs)
2025-04-17 10:03:28,150 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (36933, 20) (remaining tasks 7)
2025-04-17 10:03:36,586 [DEBUG]  		found 1 col clusters (in 8.43541 secs)
2025-04-17 10:03:36,594 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (36796, 20) (remaining tasks 7)
2025-04-17 10:03:45,390 [DEBUG]  		found 1 col clusters (in 8.79295 secs)
