2025-04-22 15:06:08,453 [INFO ]  Creating naive ensemble.
2025-04-22 15:06:08,454 [INFO ]  Learning SPN for accelerometer_gyro_mobile_phone_dataset.
2025-04-22 15:06:08,454 [DEBUG]  generate_join_sample(single_table=accelerometer_gyro_mobile_phone_dataset, relationship_list=None, split_condition=None)
2025-04-22 15:06:08,485 [DEBUG]  Using min_instance_slice parameter 319.91.
2025-04-22 15:06:08,486 [INFO ]  SPN training phase with 31991 samples
2025-04-22 15:06:08,502 [DEBUG]  Built domains in 0.015230917997541837 sec
2025-04-22 15:06:08,856 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-22 15:06:08,858 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-22 15:06:08,950 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-22 15:06:08,981 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-22 15:06:08,981 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-22 15:06:08,988 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-22 15:06:08,989 [DEBUG]  Loaded backend agg version unknown.
2025-04-22 15:06:08,989 [DEBUG]  Loaded backend agg version unknown.
2025-04-22 15:06:08,993 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (31991, 8) (remaining tasks 0)
2025-04-22 15:06:09,154 [DEBUG]  		found 2 row clusters (in 0.16059 secs)
2025-04-22 15:06:09,156 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (16142, 8) (remaining tasks 1)
2025-04-22 15:06:10,991 [DEBUG]  		found 8 col clusters (in 1.83467 secs)
2025-04-22 15:06:10,993 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (15849, 8) (remaining tasks 8)
2025-04-22 15:06:12,577 [DEBUG]  		found 8 col clusters (in 1.58461 secs)
2025-04-22 15:06:12,578 [DEBUG]  OP: Operation.CREATE_LEAF on slice (16142, 1) (remaining tasks 15)
