2025-04-21 21:57:45,732 [INFO ]  Creating naive ensemble.
2025-04-21 21:57:45,733 [INFO ]  Learning SPN for airqualityuci.
2025-04-21 21:57:45,733 [DEBUG]  generate_join_sample(single_table=airqualityuci, relationship_list=None, split_condition=None)
2025-04-21 21:57:45,765 [DEBUG]  Using min_instance_slice parameter 93.57000000000001.
2025-04-21 21:57:45,766 [INFO ]  SPN training phase with 9357 samples
2025-04-21 21:57:45,775 [DEBUG]  Built domains in 0.008654596000269521 sec
2025-04-21 21:57:46,151 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-21 21:57:46,153 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-21 21:57:46,256 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-21 21:57:46,289 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-21 21:57:46,290 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-21 21:57:46,297 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-21 21:57:46,298 [DEBUG]  Loaded backend agg version unknown.
2025-04-21 21:57:46,298 [DEBUG]  Loaded backend agg version unknown.
2025-04-21 21:57:46,302 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (9357, 15) (remaining tasks 0)
2025-04-21 21:57:46,441 [DEBUG]  		found 2 row clusters (in 0.13961 secs)
2025-04-21 21:57:46,442 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (8991, 15) (remaining tasks 1)
2025-04-21 21:57:50,596 [DEBUG]  		found 2 col clusters (in 4.15381 secs)
2025-04-21 21:57:50,597 [DEBUG]  OP: Operation.REMOVE_UNINFORMATIVE_FEATURES on slice (366, 15) (remaining tasks 2)
2025-04-21 21:57:50,597 [DEBUG]  OP: Operation.CREATE_LEAF on slice (8991, 1) (remaining tasks 11)
2025-04-21 21:57:50,598 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[0] (in 0.00092 secs)
2025-04-21 21:57:50,599 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (8991, 14) (remaining tasks 10)
2025-04-21 21:57:54,351 [DEBUG]  		found 1 col clusters (in 3.75239 secs)
2025-04-21 21:57:54,352 [DEBUG]  OP: Operation.CREATE_LEAF on slice (366, 1) (remaining tasks 10)
2025-04-21 21:57:54,352 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[3] (in 0.00034 secs)
