2025-04-24 21:56:19,878 [INFO ]  Creating naive ensemble.
2025-04-24 21:56:19,879 [INFO ]  Learning SPN for conflongdemo_jsi.
2025-04-24 21:56:19,879 [DEBUG]  generate_join_sample(single_table=conflongdemo_jsi, relationship_list=None, split_condition=None)
2025-04-24 21:56:19,928 [DEBUG]  Using min_instance_slice parameter 1648.6000000000001.
2025-04-24 21:56:19,929 [INFO ]  SPN training phase with 164860 samples
2025-04-24 21:56:19,979 [DEBUG]  Built domains in 0.049332403985317796 sec
2025-04-24 21:56:20,349 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-24 21:56:20,351 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-24 21:56:20,446 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-24 21:56:20,476 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-24 21:56:20,477 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-24 21:56:20,484 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-24 21:56:20,484 [DEBUG]  Loaded backend agg version unknown.
2025-04-24 21:56:20,485 [DEBUG]  Loaded backend agg version unknown.
2025-04-24 21:56:20,492 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (164860, 7) (remaining tasks 0)
2025-04-24 21:56:20,996 [DEBUG]  		found 2 row clusters (in 0.50394 secs)
2025-04-24 21:56:21,002 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (82687, 7) (remaining tasks 1)
2025-04-24 21:56:21,969 [DEBUG]  		found 3 col clusters (in 0.96712 secs)
2025-04-24 21:56:21,979 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (82173, 7) (remaining tasks 3)
2025-04-24 21:56:23,027 [DEBUG]  		found 2 col clusters (in 1.04845 secs)
2025-04-24 21:56:23,028 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (82687, 2) (remaining tasks 4)
2025-04-24 21:56:23,242 [DEBUG]  		found 1 col clusters (in 0.21402 secs)
2025-04-24 21:56:23,244 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (82687, 4) (remaining tasks 4)
2025-04-24 21:56:23,480 [DEBUG]  		found 1 col clusters (in 0.23562 secs)
2025-04-24 21:56:23,481 [DEBUG]  OP: Operation.CREATE_LEAF on slice (82687, 1) (remaining tasks 4)
2025-04-24 21:56:23,582 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[4] (in 0.10129 secs)
2025-04-24 21:56:23,584 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (82173, 2) (remaining tasks 3)
2025-04-24 21:56:23,725 [DEBUG]  		found 1 col clusters (in 0.13992 secs)
2025-04-24 21:56:23,727 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (82173, 5) (remaining tasks 3)
2025-04-24 21:56:24,065 [DEBUG]  		found 1 col clusters (in 0.33746 secs)
2025-04-24 21:56:24,066 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (82687, 2) (remaining tasks 3)
