2025-04-22 15:06:43,841 [INFO ]  Creating naive ensemble.
2025-04-22 15:06:43,842 [INFO ]  Learning SPN for data1.
2025-04-22 15:06:43,842 [DEBUG]  generate_join_sample(single_table=data1, relationship_list=None, split_condition=None)
2025-04-22 15:06:43,869 [DEBUG]  Using min_instance_slice parameter 205.20000000000002.
2025-04-22 15:06:43,869 [INFO ]  SPN training phase with 20520 samples
2025-04-22 15:06:43,873 [DEBUG]  Built domains in 0.003751678013941273 sec
2025-04-22 15:06:44,238 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-22 15:06:44,239 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-22 15:06:44,333 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-22 15:06:44,364 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-22 15:06:44,365 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-22 15:06:44,372 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-22 15:06:44,372 [DEBUG]  Loaded backend agg version unknown.
2025-04-22 15:06:44,373 [DEBUG]  Loaded backend agg version unknown.
2025-04-22 15:06:44,376 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (20520, 3) (remaining tasks 0)
2025-04-22 15:06:44,439 [DEBUG]  		found 2 row clusters (in 0.06264 secs)
2025-04-22 15:06:44,440 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (10149, 3) (remaining tasks 1)
2025-04-22 15:06:44,556 [DEBUG]  		found 1 col clusters (in 0.11593 secs)
2025-04-22 15:06:44,557 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (10371, 3) (remaining tasks 1)
2025-04-22 15:06:44,756 [DEBUG]  		found 1 col clusters (in 0.19887 secs)
2025-04-22 15:06:44,758 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (10149, 3) (remaining tasks 1)
2025-04-22 15:06:44,834 [DEBUG]  		found 2 row clusters (in 0.07621 secs)
2025-04-22 15:06:44,839 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (10371, 3) (remaining tasks 2)
2025-04-22 15:06:44,924 [DEBUG]  		found 2 row clusters (in 0.08421 secs)
2025-04-22 15:06:44,925 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (5235, 3) (remaining tasks 3)
2025-04-22 15:06:45,034 [DEBUG]  		found 1 col clusters (in 0.10899 secs)
2025-04-22 15:06:45,035 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (4914, 3) (remaining tasks 3)
2025-04-22 15:06:45,229 [DEBUG]  		found 1 col clusters (in 0.19322 secs)
2025-04-22 15:06:45,230 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (5917, 3) (remaining tasks 3)
2025-04-22 15:06:45,410 [DEBUG]  		found 1 col clusters (in 0.18069 secs)
2025-04-22 15:06:45,411 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (4454, 3) (remaining tasks 3)
2025-04-22 15:06:45,647 [DEBUG]  		found 1 col clusters (in 0.23554 secs)
2025-04-22 15:06:45,648 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (5235, 3) (remaining tasks 3)
2025-04-22 15:06:45,696 [DEBUG]  		found 2 row clusters (in 0.04810 secs)
2025-04-22 15:06:45,697 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (4914, 3) (remaining tasks 4)
2025-04-22 15:06:45,756 [DEBUG]  		found 2 row clusters (in 0.05893 secs)
2025-04-22 15:06:45,757 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (5917, 3) (remaining tasks 5)
2025-04-22 15:06:45,802 [DEBUG]  		found 2 row clusters (in 0.04546 secs)
2025-04-22 15:06:45,803 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (4454, 3) (remaining tasks 6)
2025-04-22 15:06:45,826 [DEBUG]  		found 2 row clusters (in 0.02339 secs)
2025-04-22 15:06:45,827 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (2456, 3) (remaining tasks 7)
2025-04-22 15:06:45,934 [DEBUG]  		found 1 col clusters (in 0.10743 secs)
2025-04-22 15:06:45,935 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (2779, 3) (remaining tasks 7)
2025-04-22 15:06:46,127 [DEBUG]  		found 1 col clusters (in 0.19185 secs)
2025-04-22 15:06:46,128 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (2466, 3) (remaining tasks 7)
2025-04-22 15:06:46,339 [DEBUG]  		found 1 col clusters (in 0.21135 secs)
2025-04-22 15:06:46,340 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (2448, 3) (remaining tasks 7)
2025-04-22 15:06:46,550 [DEBUG]  		found 1 col clusters (in 0.21031 secs)
2025-04-22 15:06:46,551 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (2860, 3) (remaining tasks 7)
2025-04-22 15:06:46,759 [DEBUG]  		found 1 col clusters (in 0.20816 secs)
2025-04-22 15:06:46,760 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (3057, 3) (remaining tasks 7)
2025-04-22 15:06:46,974 [DEBUG]  		found 1 col clusters (in 0.21377 secs)
2025-04-22 15:06:46,974 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (2581, 3) (remaining tasks 7)
2025-04-22 15:06:47,185 [DEBUG]  		found 1 col clusters (in 0.21012 secs)
2025-04-22 15:06:47,185 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (1873, 3) (remaining tasks 7)
2025-04-22 15:06:47,401 [DEBUG]  		found 1 col clusters (in 0.21561 secs)
2025-04-22 15:06:47,401 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (2456, 3) (remaining tasks 7)
2025-04-22 15:06:47,433 [DEBUG]  		found 2 row clusters (in 0.03167 secs)
2025-04-22 15:06:47,435 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (2779, 3) (remaining tasks 8)
2025-04-22 15:06:47,486 [DEBUG]  		found 2 row clusters (in 0.05014 secs)
2025-04-22 15:06:47,488 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (2466, 3) (remaining tasks 9)
2025-04-22 15:06:47,523 [DEBUG]  		found 2 row clusters (in 0.03518 secs)
2025-04-22 15:06:47,524 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (2448, 3) (remaining tasks 10)
2025-04-22 15:06:47,539 [DEBUG]  		found 2 row clusters (in 0.01493 secs)
2025-04-22 15:06:47,539 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (2860, 3) (remaining tasks 11)
2025-04-22 15:06:47,554 [DEBUG]  		found 2 row clusters (in 0.01476 secs)
