2025-04-17 19:03:06,892 [INFO ]  Creating naive ensemble.
2025-04-17 19:03:06,893 [INFO ]  Learning SPN for diabetes_012_health_indicators_brfss2015.
2025-04-17 19:03:06,893 [DEBUG]  generate_join_sample(single_table=diabetes_012_health_indicators_brfss2015, relationship_list=None, split_condition=None)
2025-04-17 19:03:06,999 [DEBUG]  Using min_instance_slice parameter 2536.8.
2025-04-17 19:03:06,999 [INFO ]  SPN training phase with 253680 samples
2025-04-17 19:03:07,163 [DEBUG]  Built domains in 0.16382776014506817 sec
2025-04-17 19:03:07,602 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-17 19:03:07,604 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-17 19:03:07,709 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-17 19:03:07,742 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-17 19:03:07,743 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-17 19:03:07,750 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-17 19:03:07,751 [DEBUG]  Loaded backend agg version unknown.
2025-04-17 19:03:07,751 [DEBUG]  Loaded backend agg version unknown.
2025-04-17 19:03:07,775 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (253680, 22) (remaining tasks 0)
2025-04-17 19:03:08,828 [DEBUG]  		found 2 row clusters (in 1.05220 secs)
2025-04-17 19:03:08,859 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (221790, 22) (remaining tasks 1)
2025-04-17 19:03:18,018 [DEBUG]  		found 8 col clusters (in 9.15871 secs)
2025-04-17 19:03:18,023 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (31890, 22) (remaining tasks 8)
2025-04-17 19:03:29,195 [DEBUG]  		found 6 col clusters (in 11.17110 secs)
2025-04-17 19:03:29,257 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (221790, 13) (remaining tasks 13)
2025-04-17 19:03:33,634 [DEBUG]  		found 1 col clusters (in 4.37653 secs)
2025-04-17 19:03:33,635 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221790, 1) (remaining tasks 13)
2025-04-17 19:03:33,648 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[3] (in 0.01352 secs)
2025-04-17 19:03:33,655 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221790, 1) (remaining tasks 12)
2025-04-17 19:03:33,729 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[5] (in 0.07302 secs)
2025-04-17 19:03:33,763 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221790, 1) (remaining tasks 11)
2025-04-17 19:03:33,789 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[6] (in 0.02478 secs)
2025-04-17 19:03:33,791 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (221790, 2) (remaining tasks 10)
2025-04-17 19:03:33,903 [DEBUG]  		found 1 col clusters (in 0.11187 secs)
2025-04-17 19:03:33,903 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221790, 1) (remaining tasks 10)
2025-04-17 19:03:33,914 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[11] (in 0.01098 secs)
2025-04-17 19:03:33,916 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (221790, 2) (remaining tasks 9)
2025-04-17 19:03:34,028 [DEBUG]  		found 1 col clusters (in 0.11223 secs)
2025-04-17 19:03:34,028 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221790, 1) (remaining tasks 9)
2025-04-17 19:03:34,040 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[18] (in 0.01164 secs)
2025-04-17 19:03:34,042 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (31890, 16) (remaining tasks 8)
2025-04-17 19:03:39,423 [DEBUG]  		found 1 col clusters (in 5.38042 secs)
2025-04-17 19:03:39,423 [DEBUG]  OP: Operation.CREATE_LEAF on slice (31890, 1) (remaining tasks 8)
2025-04-17 19:03:39,425 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[3] (in 0.00135 secs)
2025-04-17 19:03:39,425 [DEBUG]  OP: Operation.CREATE_LEAF on slice (31890, 1) (remaining tasks 7)
2025-04-17 19:03:39,427 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[5] (in 0.00184 secs)
2025-04-17 19:03:39,427 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (31890, 2) (remaining tasks 6)
2025-04-17 19:03:39,614 [DEBUG]  		found 1 col clusters (in 0.18630 secs)
2025-04-17 19:03:39,614 [DEBUG]  OP: Operation.CREATE_LEAF on slice (31890, 1) (remaining tasks 6)
2025-04-17 19:03:39,616 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[11] (in 0.00149 secs)
2025-04-17 19:03:39,616 [DEBUG]  OP: Operation.CREATE_LEAF on slice (31890, 1) (remaining tasks 5)
2025-04-17 19:03:39,618 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[18] (in 0.00187 secs)
