2025-04-17 17:27:20,224 [INFO ]  Creating naive ensemble.
2025-04-17 17:27:20,225 [INFO ]  Learning SPN for diabetes_binary_5050split_health_indicators_brfss2015.
2025-04-17 17:27:20,225 [DEBUG]  generate_join_sample(single_table=diabetes_binary_5050split_health_indicators_brfss2015, relationship_list=None, split_condition=None)
2025-04-17 17:27:20,271 [DEBUG]  Using min_instance_slice parameter 706.92.
2025-04-17 17:27:20,271 [INFO ]  SPN training phase with 70692 samples
2025-04-17 17:27:20,318 [DEBUG]  Built domains in 0.046817549504339695 sec
2025-04-17 17:27:20,733 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-17 17:27:20,735 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-17 17:27:20,837 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-17 17:27:20,899 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-17 17:27:20,900 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-17 17:27:20,907 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-17 17:27:20,908 [DEBUG]  Loaded backend agg version unknown.
2025-04-17 17:27:20,908 [DEBUG]  Loaded backend agg version unknown.
2025-04-17 17:27:20,917 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (70692, 22) (remaining tasks 0)
2025-04-17 17:27:21,590 [DEBUG]  		found 2 row clusters (in 0.67324 secs)
2025-04-17 17:27:21,599 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (58044, 22) (remaining tasks 1)
2025-04-17 17:27:30,310 [DEBUG]  		found 3 col clusters (in 8.71119 secs)
2025-04-17 17:27:30,341 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (12648, 22) (remaining tasks 3)
2025-04-17 17:27:42,347 [DEBUG]  		found 5 col clusters (in 11.98954 secs)
2025-04-17 17:27:42,353 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (58044, 20) (remaining tasks 7)
2025-04-17 17:27:51,867 [DEBUG]  		found 1 col clusters (in 9.49715 secs)
2025-04-17 17:27:51,867 [DEBUG]  OP: Operation.CREATE_LEAF on slice (58044, 1) (remaining tasks 7)
2025-04-17 17:27:51,870 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[3] (in 0.00238 secs)
2025-04-17 17:27:51,870 [DEBUG]  OP: Operation.CREATE_LEAF on slice (58044, 1) (remaining tasks 6)
2025-04-17 17:27:51,883 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[11] (in 0.01280 secs)
2025-04-17 17:27:51,884 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (12648, 17) (remaining tasks 5)
2025-04-17 17:27:58,353 [DEBUG]  		found 1 col clusters (in 6.46898 secs)
2025-04-17 17:27:58,353 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12648, 1) (remaining tasks 5)
2025-04-17 17:27:58,354 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[3] (in 0.00074 secs)
2025-04-17 17:27:58,354 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12648, 1) (remaining tasks 4)
2025-04-17 17:27:58,355 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[5] (in 0.00086 secs)
2025-04-17 17:27:58,355 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (12648, 2) (remaining tasks 3)
2025-04-17 17:27:58,572 [DEBUG]  		found 1 col clusters (in 0.21630 secs)
2025-04-17 17:27:58,572 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12648, 1) (remaining tasks 3)
2025-04-17 17:27:58,573 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[11] (in 0.00057 secs)
