2025-04-17 16:22:43,465 [INFO ]  Creating naive ensemble.
2025-04-17 16:22:43,466 [INFO ]  Learning SPN for diabetes_binary_health_indicators_brfss2015.
2025-04-17 16:22:43,466 [DEBUG]  generate_join_sample(single_table=diabetes_binary_health_indicators_brfss2015, relationship_list=None, split_condition=None)
2025-04-17 16:22:43,566 [DEBUG]  Using min_instance_slice parameter 2536.8.
2025-04-17 16:22:43,567 [INFO ]  SPN training phase with 253680 samples
2025-04-17 16:22:43,722 [DEBUG]  Built domains in 0.15565435029566288 sec
2025-04-17 16:22:44,121 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-17 16:22:44,123 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-17 16:22:44,220 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-17 16:22:44,253 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-17 16:22:44,253 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-17 16:22:44,260 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-17 16:22:44,261 [DEBUG]  Loaded backend agg version unknown.
2025-04-17 16:22:44,261 [DEBUG]  Loaded backend agg version unknown.
2025-04-17 16:22:44,284 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (253680, 22) (remaining tasks 0)
2025-04-17 16:22:45,263 [DEBUG]  		found 2 row clusters (in 0.97905 secs)
2025-04-17 16:22:45,295 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (221788, 22) (remaining tasks 1)
2025-04-17 16:22:54,643 [DEBUG]  		found 10 col clusters (in 9.34765 secs)
2025-04-17 16:22:54,648 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (31892, 22) (remaining tasks 10)
2025-04-17 16:23:04,600 [DEBUG]  		found 7 col clusters (in 9.95174 secs)
2025-04-17 16:23:04,661 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (221788, 12) (remaining tasks 16)
2025-04-17 16:23:07,787 [DEBUG]  		found 1 col clusters (in 3.11082 secs)
2025-04-17 16:23:07,787 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221788, 1) (remaining tasks 16)
2025-04-17 16:23:07,796 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[3] (in 0.00886 secs)
2025-04-17 16:23:07,801 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221788, 1) (remaining tasks 15)
2025-04-17 16:23:07,843 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[5] (in 0.04140 secs)
2025-04-17 16:23:07,864 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221788, 1) (remaining tasks 14)
2025-04-17 16:23:07,892 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[6] (in 0.02763 secs)
2025-04-17 16:23:07,892 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221788, 1) (remaining tasks 13)
2025-04-17 16:23:07,901 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[8] (in 0.00804 secs)
2025-04-17 16:23:07,902 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (221788, 2) (remaining tasks 12)
2025-04-17 16:23:08,011 [DEBUG]  		found 1 col clusters (in 0.10881 secs)
2025-04-17 16:23:08,011 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221788, 1) (remaining tasks 12)
2025-04-17 16:23:08,021 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[11] (in 0.00929 secs)
2025-04-17 16:23:08,021 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221788, 1) (remaining tasks 11)
2025-04-17 16:23:08,030 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[12] (in 0.00913 secs)
2025-04-17 16:23:08,031 [DEBUG]  OP: Operation.CREATE_LEAF on slice (221788, 1) (remaining tasks 10)
2025-04-17 16:23:08,041 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[13] (in 0.00983 secs)
