2025-04-22 04:12:18,991 [INFO ]  Creating naive ensemble.
2025-04-22 04:12:18,992 [INFO ]  Learning SPN for ethylene_co.
2025-04-22 04:12:18,992 [DEBUG]  generate_join_sample(single_table=ethylene_co, relationship_list=None, split_condition=None)
2025-04-22 04:12:19,273 [DEBUG]  Using min_instance_slice parameter 10485.76.
2025-04-22 04:12:19,273 [INFO ]  SPN training phase with 1048576 samples
2025-04-22 04:12:20,142 [DEBUG]  Built domains in 0.8687047970015556 sec
2025-04-22 04:12:20,503 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-22 04:12:20,504 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-22 04:12:20,599 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-22 04:12:20,630 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-22 04:12:20,630 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-22 04:12:20,637 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-22 04:12:20,637 [DEBUG]  Loaded backend agg version unknown.
2025-04-22 04:12:20,638 [DEBUG]  Loaded backend agg version unknown.
2025-04-22 04:12:20,712 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (1048576, 19) (remaining tasks 0)
2025-04-22 04:12:21,776 [DEBUG]  		found 2 row clusters (in 1.06402 secs)
2025-04-22 04:12:21,854 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (607320, 19) (remaining tasks 1)
2025-04-22 04:12:30,851 [DEBUG]  		found 1 col clusters (in 8.99651 secs)
2025-04-22 04:12:30,902 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (441256, 19) (remaining tasks 1)
2025-04-22 04:12:38,524 [DEBUG]  		found 1 col clusters (in 7.62160 secs)
2025-04-22 04:12:38,594 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (607320, 19) (remaining tasks 1)
2025-04-22 04:12:39,632 [DEBUG]  		found 2 row clusters (in 1.03851 secs)
2025-04-22 04:12:39,691 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (441256, 19) (remaining tasks 2)
2025-04-22 04:12:40,436 [DEBUG]  		found 2 row clusters (in 0.74492 secs)
2025-04-22 04:12:40,468 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (241587, 19) (remaining tasks 3)
2025-04-22 04:12:48,271 [DEBUG]  		found 1 col clusters (in 7.80250 secs)
2025-04-22 04:12:48,330 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (365733, 19) (remaining tasks 3)
2025-04-22 04:12:57,880 [DEBUG]  		found 1 col clusters (in 9.54959 secs)
2025-04-22 04:12:57,905 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (213648, 19) (remaining tasks 3)
2025-04-22 04:13:06,046 [DEBUG]  		found 1 col clusters (in 8.14027 secs)
2025-04-22 04:13:06,093 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (227608, 19) (remaining tasks 3)
2025-04-22 04:13:15,041 [DEBUG]  		found 1 col clusters (in 8.94099 secs)
2025-04-22 04:13:15,083 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (241587, 19) (remaining tasks 3)
2025-04-22 04:13:16,025 [DEBUG]  		found 2 row clusters (in 0.94150 secs)
2025-04-22 04:13:16,073 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (365733, 19) (remaining tasks 4)
2025-04-22 04:13:16,822 [DEBUG]  		found 2 row clusters (in 0.74920 secs)
2025-04-22 04:13:16,850 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (213648, 19) (remaining tasks 5)
2025-04-22 04:13:17,826 [DEBUG]  		found 2 row clusters (in 0.97635 secs)
2025-04-22 04:13:17,856 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (227608, 19) (remaining tasks 6)
2025-04-22 04:13:18,413 [DEBUG]  		found 2 row clusters (in 0.55689 secs)
2025-04-22 04:13:18,425 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (93200, 19) (remaining tasks 7)
2025-04-22 04:13:27,153 [DEBUG]  		found 1 col clusters (in 8.72782 secs)
2025-04-22 04:13:27,179 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (148387, 19) (remaining tasks 7)
2025-04-22 04:13:34,588 [DEBUG]  		found 1 col clusters (in 7.40927 secs)
2025-04-22 04:13:34,673 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (216293, 19) (remaining tasks 7)
2025-04-22 04:13:42,568 [DEBUG]  		found 1 col clusters (in 7.89419 secs)
2025-04-22 04:13:42,588 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (149440, 19) (remaining tasks 7)
2025-04-22 04:13:50,399 [DEBUG]  		found 1 col clusters (in 7.81127 secs)
2025-04-22 04:13:50,461 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (91116, 19) (remaining tasks 7)
2025-04-22 04:13:57,305 [DEBUG]  		found 1 col clusters (in 6.83741 secs)
2025-04-22 04:13:57,430 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (122532, 19) (remaining tasks 7)
2025-04-22 04:14:04,071 [DEBUG]  		found 1 col clusters (in 6.64055 secs)
2025-04-22 04:14:04,141 [DEBUG]  OP: Operation.REMOVE_UNINFORMATIVE_FEATURES on slice (41058, 19) (remaining tasks 7)
2025-04-22 04:14:04,264 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (186550, 19) (remaining tasks 8)
2025-04-22 04:14:12,814 [DEBUG]  		found 1 col clusters (in 8.54907 secs)
2025-04-22 04:14:12,840 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (93200, 19) (remaining tasks 8)
2025-04-22 04:14:13,472 [DEBUG]  		found 2 row clusters (in 0.62346 secs)
2025-04-22 04:14:13,496 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (148387, 19) (remaining tasks 9)
2025-04-22 04:14:14,455 [DEBUG]  		found 2 row clusters (in 0.95802 secs)
2025-04-22 04:14:14,481 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (216293, 19) (remaining tasks 10)
2025-04-22 04:14:15,264 [DEBUG]  		found 2 row clusters (in 0.78293 secs)
2025-04-22 04:14:15,284 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (149440, 19) (remaining tasks 11)
2025-04-22 04:14:15,855 [DEBUG]  		found 2 row clusters (in 0.57101 secs)
2025-04-22 04:14:15,866 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (91116, 19) (remaining tasks 12)
2025-04-22 04:14:16,332 [DEBUG]  		found 2 row clusters (in 0.46548 secs)
2025-04-22 04:14:16,347 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (122532, 19) (remaining tasks 13)
2025-04-22 04:14:17,346 [DEBUG]  		found 2 row clusters (in 0.99907 secs)
