2025-04-22 10:25:23,681 [INFO ]  Creating naive ensemble.
2025-04-22 10:25:23,682 [INFO ]  Learning SPN for ethylene_methane.
2025-04-22 10:25:23,682 [DEBUG]  generate_join_sample(single_table=ethylene_methane, relationship_list=None, split_condition=None)
2025-04-22 10:25:23,967 [DEBUG]  Using min_instance_slice parameter 10485.75.
2025-04-22 10:25:23,967 [INFO ]  SPN training phase with 1048575 samples
2025-04-22 10:25:24,839 [DEBUG]  Built domains in 0.8711997369973687 sec
2025-04-22 10:25:25,205 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-22 10:25:25,206 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-22 10:25:25,302 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-22 10:25:25,332 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-22 10:25:25,333 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-22 10:25:25,340 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-22 10:25:25,341 [DEBUG]  Loaded backend agg version unknown.
2025-04-22 10:25:25,341 [DEBUG]  Loaded backend agg version unknown.
2025-04-22 10:25:25,416 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (1048575, 19) (remaining tasks 0)
2025-04-22 10:25:26,674 [DEBUG]  		found 2 row clusters (in 1.25723 secs)
2025-04-22 10:25:26,759 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (646938, 19) (remaining tasks 1)
2025-04-22 10:25:34,832 [DEBUG]  		found 1 col clusters (in 8.07366 secs)
2025-04-22 10:25:34,878 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (401637, 19) (remaining tasks 1)
2025-04-22 10:25:42,761 [DEBUG]  		found 1 col clusters (in 7.88330 secs)
2025-04-22 10:25:42,840 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (646938, 19) (remaining tasks 1)
2025-04-22 10:25:43,687 [DEBUG]  		found 2 row clusters (in 0.84681 secs)
2025-04-22 10:25:43,741 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (401637, 19) (remaining tasks 2)
2025-04-22 10:25:44,533 [DEBUG]  		found 2 row clusters (in 0.79227 secs)
2025-04-22 10:25:44,587 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (397763, 19) (remaining tasks 3)
2025-04-22 10:25:53,092 [DEBUG]  		found 1 col clusters (in 8.50469 secs)
2025-04-22 10:25:53,121 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (249175, 19) (remaining tasks 3)
2025-04-22 10:26:00,385 [DEBUG]  		found 1 col clusters (in 7.26447 secs)
2025-04-22 10:26:00,433 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (174940, 19) (remaining tasks 3)
2025-04-22 10:26:08,670 [DEBUG]  		found 1 col clusters (in 8.23659 secs)
2025-04-22 10:26:08,762 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (226697, 19) (remaining tasks 3)
2025-04-22 10:26:16,861 [DEBUG]  		found 1 col clusters (in 8.09914 secs)
2025-04-22 10:26:16,941 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (397763, 19) (remaining tasks 3)
2025-04-22 10:26:17,734 [DEBUG]  		found 2 row clusters (in 0.79250 secs)
2025-04-22 10:26:17,765 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (249175, 19) (remaining tasks 4)
2025-04-22 10:26:18,561 [DEBUG]  		found 2 row clusters (in 0.79524 secs)
2025-04-22 10:26:18,583 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (174940, 19) (remaining tasks 5)
2025-04-22 10:26:19,612 [DEBUG]  		found 2 row clusters (in 1.02930 secs)
2025-04-22 10:26:19,643 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (226697, 19) (remaining tasks 6)
2025-04-22 10:26:20,255 [DEBUG]  		found 2 row clusters (in 0.61252 secs)
2025-04-22 10:26:20,281 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (192233, 19) (remaining tasks 7)
2025-04-22 10:26:28,254 [DEBUG]  		found 1 col clusters (in 7.97286 secs)
2025-04-22 10:26:28,313 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (205530, 19) (remaining tasks 7)
2025-04-22 10:26:36,934 [DEBUG]  		found 1 col clusters (in 8.62035 secs)
2025-04-22 10:26:36,958 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (99185, 19) (remaining tasks 7)
2025-04-22 10:26:44,030 [DEBUG]  		found 1 col clusters (in 7.06271 secs)
2025-04-22 10:26:44,180 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (149990, 19) (remaining tasks 7)
2025-04-22 10:26:52,054 [DEBUG]  		found 1 col clusters (in 7.87109 secs)
2025-04-22 10:26:52,068 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (50123, 19) (remaining tasks 7)
2025-04-22 10:26:59,125 [DEBUG]  		found 1 col clusters (in 7.05650 secs)
2025-04-22 10:26:59,199 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (124817, 19) (remaining tasks 7)
2025-04-22 10:27:05,989 [DEBUG]  		found 1 col clusters (in 6.78974 secs)
2025-04-22 10:27:06,073 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (157886, 19) (remaining tasks 7)
2025-04-22 10:27:13,814 [DEBUG]  		found 1 col clusters (in 7.74087 secs)
2025-04-22 10:27:13,875 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (68811, 19) (remaining tasks 7)
2025-04-22 10:27:21,004 [DEBUG]  		found 1 col clusters (in 7.12120 secs)
2025-04-22 10:27:21,108 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (192233, 19) (remaining tasks 7)
2025-04-22 10:27:21,897 [DEBUG]  		found 2 row clusters (in 0.78936 secs)
