2025-04-21 22:55:01,241 [INFO ]  Creating naive ensemble.
2025-04-21 22:55:01,242 [INFO ]  Learning SPN for gt_2012.
2025-04-21 22:55:01,242 [DEBUG]  generate_join_sample(single_table=gt_2012, relationship_list=None, split_condition=None)
2025-04-21 22:55:01,269 [DEBUG]  Using min_instance_slice parameter 76.28.
2025-04-21 22:55:01,269 [INFO ]  SPN training phase with 7628 samples
2025-04-21 22:55:01,275 [DEBUG]  Built domains in 0.0060446729985415 sec
2025-04-21 22:55:01,646 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-21 22:55:01,648 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-21 22:55:01,742 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-21 22:55:01,772 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-21 22:55:01,773 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-21 22:55:01,780 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-21 22:55:01,780 [DEBUG]  Loaded backend agg version unknown.
2025-04-21 22:55:01,780 [DEBUG]  Loaded backend agg version unknown.
2025-04-21 22:55:01,784 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (7628, 11) (remaining tasks 0)
2025-04-21 22:55:01,867 [DEBUG]  		found 2 row clusters (in 0.08287 secs)
2025-04-21 22:55:01,867 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (5748, 11) (remaining tasks 1)
2025-04-21 22:55:03,612 [DEBUG]  		found 4 col clusters (in 1.74458 secs)
2025-04-21 22:55:03,613 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (1880, 11) (remaining tasks 4)
2025-04-21 22:55:09,162 [DEBUG]  		found 4 col clusters (in 5.54834 secs)
2025-04-21 22:55:09,162 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (5748, 8) (remaining tasks 7)
2025-04-21 22:55:10,531 [DEBUG]  		found 1 col clusters (in 1.36872 secs)
2025-04-21 22:55:10,532 [DEBUG]  OP: Operation.CREATE_LEAF on slice (5748, 1) (remaining tasks 7)
2025-04-21 22:55:10,533 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[1] (in 0.00099 secs)
