2025-04-18 20:59:18,797 [INFO ]  Creating naive ensemble.
2025-04-18 20:59:18,798 [INFO ]  Learning SPN for phiusiil_phishing_url_dataset.
2025-04-18 20:59:18,798 [DEBUG]  generate_join_sample(single_table=phiusiil_phishing_url_dataset, relationship_list=None, split_condition=None)
2025-04-18 20:59:19,025 [DEBUG]  Using min_instance_slice parameter 2357.9500000000003.
2025-04-18 20:59:19,025 [INFO ]  SPN training phase with 235795 samples
2025-04-18 20:59:19,496 [DEBUG]  Built domains in 0.4473348753526807 sec
2025-04-18 20:59:19,874 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-18 20:59:19,875 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-18 20:59:19,970 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-18 20:59:20,002 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-18 20:59:20,002 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-18 20:59:20,009 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-18 20:59:20,010 [DEBUG]  Loaded backend agg version unknown.
2025-04-18 20:59:20,010 [DEBUG]  Loaded backend agg version unknown.
2025-04-18 20:59:20,060 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (235795, 56) (remaining tasks 0)
2025-04-18 20:59:21,858 [DEBUG]  		found 2 row clusters (in 1.79738 secs)
2025-04-18 20:59:21,925 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (235611, 56) (remaining tasks 1)
2025-04-18 21:00:19,045 [DEBUG]  		found 22 col clusters (in 57.11977 secs)
2025-04-18 21:00:19,046 [DEBUG]  OP: Operation.REMOVE_UNINFORMATIVE_FEATURES on slice (184, 56) (remaining tasks 22)
2025-04-18 21:00:19,071 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (235611, 29) (remaining tasks 27)
2025-04-18 21:00:36,094 [DEBUG]  		found 1 col clusters (in 17.02241 secs)
2025-04-18 21:00:36,108 [DEBUG]  OP: Operation.CREATE_LEAF on slice (235611, 1) (remaining tasks 27)
2025-04-18 21:00:36,117 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[5] (in 0.00884 secs)
2025-04-18 21:00:36,121 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (235611, 3) (remaining tasks 26)
2025-04-18 21:00:36,233 [DEBUG]  		found 1 col clusters (in 0.11254 secs)
2025-04-18 21:00:36,234 [DEBUG]  OP: Operation.CREATE_LEAF on slice (235611, 1) (remaining tasks 26)
2025-04-18 21:00:36,245 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[12] (in 0.01139 secs)
2025-04-18 21:00:36,251 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (235611, 4) (remaining tasks 25)
2025-04-18 21:00:36,612 [DEBUG]  		found 1 col clusters (in 0.36075 secs)
2025-04-18 21:00:36,614 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (235611, 2) (remaining tasks 25)
2025-04-18 21:00:36,874 [DEBUG]  		found 1 col clusters (in 0.26016 secs)
2025-04-18 21:00:36,874 [DEBUG]  OP: Operation.CREATE_LEAF on slice (235611, 1) (remaining tasks 25)
2025-04-18 21:00:36,888 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[32] (in 0.01334 secs)
