2025-04-24 21:32:45,334 [INFO ]  Creating naive ensemble.
2025-04-24 21:32:45,335 [INFO ]  Learning SPN for raw1.
2025-04-24 21:32:45,335 [DEBUG]  generate_join_sample(single_table=raw1, relationship_list=None, split_condition=None)
2025-04-24 21:32:45,372 [DEBUG]  Using min_instance_slice parameter 240.0.
2025-04-24 21:32:45,372 [INFO ]  SPN training phase with 24000 samples
2025-04-24 21:32:45,439 [DEBUG]  Built domains in 0.0666175420046784 sec
2025-04-24 21:32:45,799 [DEBUG]  CACHEDIR=/home/dafn/.cache/matplotlib
2025-04-24 21:32:45,801 [DEBUG]  Using fontManager instance from /home/dafn/.cache/matplotlib/fontlist-v300.json
2025-04-24 21:32:45,896 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-24 21:32:45,926 [DEBUG]  Loaded backend qt5agg version unknown.
2025-04-24 21:32:45,927 [DEBUG]  Loaded backend qt4agg version unknown.
2025-04-24 21:32:45,934 [DEBUG]  Loaded backend tkagg version unknown.
2025-04-24 21:32:45,935 [DEBUG]  Loaded backend agg version unknown.
2025-04-24 21:32:45,935 [DEBUG]  Loaded backend agg version unknown.
2025-04-24 21:32:45,941 [DEBUG]  OP: Operation.SPLIT_ROWS on slice (24000, 41) (remaining tasks 0)
2025-04-24 21:32:47,804 [DEBUG]  		found 2 row clusters (in 1.86248 secs)
2025-04-24 21:32:47,807 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (12002, 41) (remaining tasks 1)
2025-04-24 21:33:21,133 [DEBUG]  		found 40 col clusters (in 33.32621 secs)
2025-04-24 21:33:21,141 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (11998, 41) (remaining tasks 40)
2025-04-24 21:33:54,022 [DEBUG]  		found 40 col clusters (in 32.86642 secs)
2025-04-24 21:33:54,030 [DEBUG]  OP: Operation.SPLIT_COLUMNS on slice (12002, 2) (remaining tasks 79)
2025-04-24 21:33:54,229 [DEBUG]  		found 1 col clusters (in 0.19929 secs)
2025-04-24 21:33:54,229 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 79)
2025-04-24 21:33:54,235 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[2] (in 0.00509 secs)
2025-04-24 21:33:54,235 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 78)
2025-04-24 21:33:54,241 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[3] (in 0.00650 secs)
2025-04-24 21:33:54,242 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 77)
2025-04-24 21:33:54,249 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[4] (in 0.00777 secs)
2025-04-24 21:33:54,250 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 76)
2025-04-24 21:33:54,257 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[5] (in 0.00758 secs)
2025-04-24 21:33:54,258 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 75)
2025-04-24 21:33:54,265 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[6] (in 0.00737 secs)
2025-04-24 21:33:54,266 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 74)
2025-04-24 21:33:54,273 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[7] (in 0.00737 secs)
2025-04-24 21:33:54,274 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 73)
2025-04-24 21:33:54,281 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[8] (in 0.00747 secs)
2025-04-24 21:33:54,282 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 72)
2025-04-24 21:33:54,289 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[9] (in 0.00755 secs)
2025-04-24 21:33:54,290 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 71)
2025-04-24 21:33:54,298 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[10] (in 0.00792 secs)
2025-04-24 21:33:54,298 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 70)
2025-04-24 21:33:54,306 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[11] (in 0.00777 secs)
2025-04-24 21:33:54,306 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 69)
2025-04-24 21:33:54,314 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[12] (in 0.00773 secs)
2025-04-24 21:33:54,314 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 68)
2025-04-24 21:33:54,323 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[13] (in 0.00806 secs)
2025-04-24 21:33:54,323 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 67)
2025-04-24 21:33:54,331 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[14] (in 0.00778 secs)
2025-04-24 21:33:54,331 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 66)
2025-04-24 21:33:54,339 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[15] (in 0.00771 secs)
2025-04-24 21:33:54,339 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 65)
2025-04-24 21:33:54,347 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[16] (in 0.00776 secs)
2025-04-24 21:33:54,347 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 64)
2025-04-24 21:33:54,355 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[17] (in 0.00805 secs)
2025-04-24 21:33:54,355 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 63)
2025-04-24 21:33:54,363 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[18] (in 0.00737 secs)
2025-04-24 21:33:54,363 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 62)
2025-04-24 21:33:54,371 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[19] (in 0.00782 secs)
2025-04-24 21:33:54,371 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 61)
2025-04-24 21:33:54,379 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[20] (in 0.00764 secs)
2025-04-24 21:33:54,379 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 60)
2025-04-24 21:33:54,387 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[21] (in 0.00743 secs)
2025-04-24 21:33:54,387 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 59)
2025-04-24 21:33:54,391 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[22] (in 0.00462 secs)
2025-04-24 21:33:54,392 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 58)
2025-04-24 21:33:54,396 [DEBUG]  		 created leaf IdentityNumericLeaf for scope=[23] (in 0.00444 secs)
2025-04-24 21:33:54,396 [DEBUG]  OP: Operation.CREATE_LEAF on slice (12002, 1) (remaining tasks 57)
